user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
132,0,0,0,0,1,0,1,0,0,1,2,4,1,3,6,9,21,31,37,51,49,1,0,0
133,0,0,0,0,0,0,0,1,1,1,4,10,9,2,3,8,4,9,15,31,46,60,32,0
135,0,0,0,0,0,0,0,2,3,1,2,4,6,0,3,1,4,5,9,26,26,4,0,0
136,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,3,1,7,4,8,18,15,28,0
147,0,0,0,0,1,0,1,1,0,2,2,5,1,6,8,6,22,16,23,36,33,5,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,9,18,24,25,18,0,0
154,0,0,0,0,0,0,0,0,1,0,2,1,1,2,4,6,3,4,14,44,63,30,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,10,16,6,0,0
162,0,0,0,0,0,0,1,0,1,0,3,1,1,5,5,8,10,12,8,17,26,13,9,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,11,12,18,0,0
168,0,0,0,0,0,0,0,0,0,2,2,2,3,1,3,6,5,6,11,27,21,10,0,0
175,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,2,2,6,11,17,8,5,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,6,18,17,0
189,0,0,0,0,0,0,0,2,3,0,1,3,2,1,3,4,5,11,20,30,29,27,5,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,6,21,20,15,0,0
201,0,0,0,0,0,0,0,1,1,0,2,3,3,0,4,3,2,6,6,16,27,9,0,0
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,9,14,10,16,5,1,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,6,14,23,33,9,0,0
206,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,13,21,76,1,0,0
208,0,0,0,0,0,3,2,4,4,5,3,4,7,8,11,11,26,29,42,30,43,87,49,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,7,11,8,0
211,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,10,14,19,2,0,0
213,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,8,9,3,12,16,17,0
215,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,12,14,14,12,39,44,29,21,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,23,43,55,34,0,0
220,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,5,4,2,1,10,24,4,0,0
232,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,7,9,19,32,31,6,0,0
237,0,0,0,0,0,4,1,4,2,2,5,6,4,6,7,6,14,19,32,35,19,14,7,0
239,0,0,0,0,0,0,0,2,4,1,3,2,5,3,3,7,10,22,30,51,64,47,0,0
241,0,0,0,0,0,0,0,0,1,1,0,2,1,4,2,8,7,20,16,21,15,20,8,0
248,0,0,0,0,0,0,1,1,1,0,1,0,3,2,3,2,3,3,16,25,32,39,28,0
252,0,0,0,0,0,0,1,0,2,1,5,4,5,3,2,5,9,2,7,13,10,1,0,0
254,0,0,0,0,0,0,0,0,1,0,0,1,2,2,3,4,8,10,12,18,25,10,0,0
258,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,2,9,15,43,90,103,0,0
264,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,2,12,15,7,19,23,9,0,0
266,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,3,2,7,6,23,16,4,0
271,0,0,0,0,0,0,1,0,0,0,1,1,2,3,4,8,13,16,21,54,90,64,23,0
279,0,0,0,0,0,0,0,2,1,2,6,2,4,1,1,3,3,9,20,28,50,32,30,0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,4,10,14,12,5,5,3,0
285,0,0,0,0,0,0,0,2,0,1,0,0,2,2,2,5,16,19,19,15,27,13,24,0
294,0,0,0,0,0,0,1,3,7,1,3,4,13,7,12,13,33,48,50,81,76,47,3,0
304,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,6,6,16,17,9,0
312,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,2,4,4,6,22,22,9,2,0
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,19,33,1,0,0
316,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,7,13,26,18,4,0,0
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,11,31,52,47,10,0,0
318,0,0,0,0,0,1,0,0,1,0,2,1,3,3,3,4,11,7,9,10,56,62,57,0
337,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,6,7,22,38,115,104,11,0
340,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,3,5,8,19,14,33,0,0
342,0,0,0,0,1,0,0,0,0,1,1,1,2,1,2,5,1,1,5,12,13,13,10,0
348,0,0,0,0,1,4,11,17,14,17,15,18,14,23,13,15,14,23,35,56,102,196,55,0
351,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,6,6,6,8,20,4,0,0
359,0,0,0,0,0,0,0,0,0,2,2,6,5,2,6,3,11,13,16,29,86,159,12,0
361,0,0,0,0,0,0,0,0,2,0,1,0,1,0,3,1,2,0,12,15,20,7,0,0
367,0,0,0,0,0,0,0,0,2,0,1,1,4,5,6,9,18,24,39,59,75,87,3,0
370,0,0,0,0,0,0,1,1,3,0,2,1,5,2,8,8,16,29,50,47,51,98,89,0
372,0,0,0,0,0,0,0,0,2,0,2,1,3,2,4,3,3,2,8,21,17,0,0,0
375,0,0,0,0,0,1,0,1,1,1,3,1,0,4,3,3,3,5,10,20,23,14,0,0
379,0,0,0,0,0,0,0,2,0,0,0,2,3,4,2,5,14,7,2,12,12,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,18,13,4,0
387,0,0,0,0,0,0,1,1,3,1,1,1,5,6,15,16,17,25,55,60,69,52,0,0
388,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,8,10,11,10,25,33,15,0,0
394,0,0,0,0,0,1,5,11,5,9,8,15,15,11,10,17,22,15,27,31,65,96,0,0
395,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,7,9,10,16,17,17,6,0
398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,12,15,0
407,0,0,0,0,0,0,0,0,3,0,1,3,6,7,5,5,3,11,16,14,12,4,0,0
409,0,0,0,0,0,0,0,1,2,0,3,2,5,3,4,10,13,17,29,38,37,30,14,0
413,0,0,0,0,4,6,4,6,7,6,8,11,20,12,13,9,14,33,55,80,106,30,0,0
419,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,4,18,21,32,3,0
421,0,0,0,0,0,0,0,0,0,0,0,2,6,5,5,6,8,14,36,76,67,31,0,0
422,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,5,11,13,29,48,52,14,0,0
425,0,0,0,0,2,4,6,7,11,7,12,21,14,15,13,16,14,21,14,36,39,22,72,0
427,0,0,0,0,0,0,0,2,2,0,1,2,2,3,8,9,12,15,27,35,7,0,0,0
430,0,0,0,0,1,0,1,2,3,0,1,0,6,6,8,19,31,33,38,35,80,6,0,0
431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,6,11,9,15,7,0
436,0,0,0,0,0,0,0,0,1,0,1,0,1,0,6,6,13,16,12,32,28,0,0,0
440,0,0,0,0,0,0,0,2,1,1,0,0,2,1,4,9,19,29,24,30,43,38,11,0
442,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,7,2,3,7,5,11,9,1,0
448,0,0,0,0,2,1,3,0,3,3,2,5,4,8,15,12,14,12,19,32,29,2,0,0
451,0,0,0,0,0,1,0,0,0,1,1,0,4,2,8,14,5,14,21,35,58,37,0,0
455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,24,28,7,0
457,0,0,0,0,0,0,0,1,0,0,1,3,7,5,7,13,13,20,28,39,42,37,0,0
459,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,2,4,3,9,14,17,43,40,0
462,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,9,27,36,61,76,9,0,0
466,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,4,12,13,13,25,36,23,14,0
469,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,3,4,3,18,19,9,0
471,0,0,0,0,0,0,0,0,0,1,2,5,11,5,6,11,10,14,19,12,13,6,0,0
482,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,9,19,28,18,25,12,0
485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,6,17,7,5,0
486,0,0,0,0,0,0,0,1,2,2,5,4,9,8,9,6,8,13,25,24,23,11,0,0
492,0,0,0,0,0,0,0,1,0,0,1,1,1,2,3,5,14,16,31,49,73,25,0,0
500,0,0,0,0,0,1,1,1,3,2,5,4,6,4,7,6,8,10,12,22,17,8,3,0
503,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,3,4,7,23,33,33,0,0
504,0,0,0,0,0,1,3,3,3,2,8,7,13,11,9,5,4,19,20,17,29,6,1,0
505,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,14,18,15,20,27,6,0
508,0,0,0,0,0,0,0,1,1,0,3,4,4,5,5,9,9,9,26,45,48,9,0,0
512,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,6,14,12,21,30,22,13,4,0
520,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,10,14,35,57,100,145,28,0
521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,6,14,23,26,26,11,0
532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,5,10,20,15,0,0
534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,6,5,37,44,35,0
535,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,99,19,0,0
540,0,0,0,0,0,0,0,1,2,1,1,0,3,3,2,2,6,5,6,17,29,35,13,0
546,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,5,7,14,31,60,55,2,0,0
548,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,1,5,16,16,12,0,0,0
557,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,6,18,45,24,0,0,0
563,0,0,0,0,1,2,1,1,1,2,1,0,1,1,4,2,2,7,13,13,6,4,0,0
571,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,3,6,18,19,8,4,0,0
572,0,0,0,0,0,0,0,3,4,0,2,2,4,3,6,20,44,62,93,123,147,208,42,0
573,0,0,0,0,0,1,0,0,3,1,6,7,8,5,4,4,6,3,7,9,5,4,8,0
577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,28,57,36,11,0
578,0,0,0,0,0,0,0,0,0,1,0,2,3,1,4,7,11,26,43,70,72,53,0,0
586,0,0,0,0,0,0,0,0,4,1,4,2,3,4,21,20,28,23,15,46,77,209,76,0
588,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,3,17,25,25,0,0,0
598,0,0,0,0,1,0,0,2,2,4,7,8,8,4,5,6,3,9,8,5,8,2,0,0
604,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,1,9,8,12,28,34,20,0,0
609,0,0,0,0,0,1,6,1,3,2,4,6,12,9,7,12,9,23,43,75,107,6,0,0
612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,31,24,0,0
614,0,0,0,1,0,0,0,4,3,2,5,4,5,3,9,6,3,26,23,29,53,107,24,0
617,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,3,0,6,6,12,9,4,0,0
619,0,0,0,0,0,0,0,2,0,0,0,1,3,2,3,4,4,15,38,61,52,13,0,0
626,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,5,6,10,10,5,0,0
631,0,0,0,1,3,5,2,3,7,2,10,10,14,8,12,13,15,23,25,41,55,70,66,0
633,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,4,8,13,18,9,1,0
637,0,0,0,0,0,0,1,0,3,0,2,0,1,5,5,8,9,10,26,41,55,70,46,0
649,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,1,3,13,15,6,6,0,0
650,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,8,5,5,14,20,29,0,0,0
661,0,0,0,0,0,0,2,1,1,1,2,0,0,1,5,6,9,17,19,17,7,1,0,0
662,0,0,0,0,1,1,0,0,2,0,0,1,2,3,8,8,11,9,16,31,22,10,0,0
664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,16,1,13,19,0,0
672,0,0,0,0,0,0,0,0,0,0,1,1,5,3,6,7,10,7,14,23,27,26,2,0
689,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,5,13,35,74,66,15,0,0
692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,27,22,0
693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,19,16,8,2,0
694,0,0,0,0,2,6,5,4,6,1,5,10,11,13,6,5,7,18,24,21,29,40,0,0
700,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,9,14,30,17,9,0,0
710,1,0,0,0,2,3,4,1,3,2,2,5,10,6,17,11,7,7,8,12,40,85,66,0
724,0,0,0,0,0,0,4,3,1,1,4,8,6,12,12,19,27,21,15,29,23,17,8,0
729,0,0,0,0,0,0,0,0,1,0,0,0,2,3,4,7,8,12,26,44,56,68,10,0
735,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,6,5,9,22,34,76,86,39,0
737,0,0,0,0,1,0,1,0,1,1,1,1,1,2,2,3,6,2,2,16,39,1,0,0
738,0,0,0,0,0,0,1,0,1,0,2,6,6,2,6,4,8,5,23,27,15,5,0,0
739,0,0,0,0,0,0,0,1,0,1,0,2,1,2,8,6,13,15,33,74,62,132,0,0
741,0,0,0,0,0,2,6,23,25,27,34,34,38,42,37,43,70,98,136,164,125,55,0,0
742,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,5,4,16,21,34,31,0,0
744,0,0,0,0,0,0,0,3,0,1,1,0,3,2,0,13,46,64,75,96,77,27,2,0
748,0,0,0,0,1,0,1,0,0,0,2,0,3,3,2,3,6,3,7,6,17,2,0,0
756,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,7,8,16,21,0,0
763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,8,16,16,2,0,0
768,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,5,7,4,15,40,130,82,0
770,0,0,0,0,0,0,1,0,3,2,1,0,3,0,1,0,11,18,24,42,36,11,17,0
774,0,0,0,0,0,0,0,4,3,0,1,2,2,1,0,3,3,2,7,8,7,9,1,0
775,0,0,0,2,2,7,14,14,17,17,24,34,44,44,61,59,95,164,199,206,135,1,0,0
777,0,0,0,0,0,0,1,1,2,1,0,3,14,7,22,30,29,66,65,115,181,55,0,0
779,0,0,0,0,0,0,0,3,1,1,1,2,1,1,4,6,12,16,23,28,30,6,0,0
784,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,7,9,18,24,19,4,0
786,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,2,3,8,11,22,23,0
787,0,0,0,0,0,0,0,0,1,3,1,2,3,2,1,2,3,4,8,17,18,5,0,0
789,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,5,4,11,5,11,6,3,2,0
804,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,3,8,19,28,29,22,13,12,0
808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,7,6,9,8,11,13,0
811,0,0,0,0,0,0,0,1,1,1,4,2,3,0,2,6,9,7,6,14,23,8,2,0
827,0,0,0,0,1,1,0,1,1,1,1,0,1,1,4,3,1,3,8,18,14,12,0,0
828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,3,18,33,33,10,1
829,0,0,0,0,0,0,0,2,1,0,1,0,2,2,1,5,12,9,20,54,86,80,62,0
841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,7,17,23,21,0,0
843,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,8,5,7,13,25,28,24,66,0
844,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,34,26,0,0
846,0,0,0,0,0,0,2,2,0,0,1,2,2,2,4,6,8,17,31,45,47,13,0,0
847,0,0,0,0,0,0,1,4,4,1,5,5,12,13,14,23,47,78,79,61,49,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,4,10,15,10,0,0
864,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,3,2,4,3,9,13,4,3,0
865,0,0,0,0,1,1,0,0,0,0,0,2,1,2,3,1,2,0,6,13,19,11,0,0
866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0
868,0,0,0,0,0,2,1,4,2,1,7,8,21,21,24,18,16,23,24,25,18,0,0,0
872,0,0,0,0,0,0,0,3,4,1,5,7,8,1,3,4,12,27,56,74,100,101,5,0
873,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,2,8,15,22,28,2,0,0
878,0,0,0,0,0,0,0,0,3,1,2,0,1,3,4,6,6,8,13,21,54,9,0,0
887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,19,29,14,0
890,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,8,10,8,10,4,0,0
891,0,0,0,0,0,0,2,0,3,0,1,2,3,1,3,5,4,5,4,6,9,9,10,0
893,0,0,0,0,0,0,0,1,3,0,3,1,2,2,4,2,6,10,11,22,47,84,20,0
894,0,0,0,0,0,0,0,0,2,0,0,0,1,1,5,4,3,1,7,13,22,20,5,0
898,0,0,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,5,14,7,6,7,3,0
902,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,6,11,28,29,23,21,4,0
910,0,0,0,0,0,0,1,2,1,3,4,4,6,5,2,10,9,8,25,24,37,172,55,0
912,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,2,16,24,17,1,0
913,0,0,0,0,0,0,0,1,1,0,1,1,1,2,2,1,5,6,7,15,10,11,3,0
915,0,0,0,0,0,0,0,1,1,0,1,1,7,5,4,3,5,13,10,10,15,0,0,0
916,0,0,0,0,0,0,0,0,0,0,1,0,3,1,6,4,16,14,22,29,18,18,10,0
919,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,2,3,8,8,54,27,0,0
923,0,0,0,0,0,0,0,1,2,1,0,1,2,3,1,4,7,5,5,16,24,25,0,0
924,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2,4,14,15,13,9,0
926,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,7,6,11,15,20,11,0,0
932,0,0,0,0,0,0,0,1,0,0,0,0,4,1,3,5,11,14,15,31,36,12,0,0
933,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,2,5,10,13,8,35,33,6,0
935,0,0,0,0,0,1,1,3,6,2,3,7,10,4,7,13,14,19,34,57,36,17,0,0
937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,4,11,10,23,1,0
940,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,9,15,38,98,1,0,0
948,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,24,25,12,0
949,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,7,5,10,9,17,16,21,3,0
951,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,12,17,26,95,23,0,0
964,0,0,0,0,0,0,0,1,1,1,2,2,9,2,2,2,6,7,11,26,46,42,30,0
969,0,0,0,0,2,1,4,2,4,2,5,7,8,13,13,18,17,25,31,53,72,80,55,0
971,0,0,0,0,0,0,2,10,7,3,1,5,11,7,23,26,51,83,88,89,117,66,0,0
975,0,0,0,0,0,0,0,0,1,0,0,0,1,6,4,8,11,15,27,30,39,31,22,0
979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,15,24,24,0
982,0,0,0,0,1,1,3,3,7,3,10,14,22,29,66,63,89,137,143,141,175,70,0,0
984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,7,28,60,37,0,0,0
990,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,4,9,12,13,8,0,0
994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,49,1,0
995,0,0,0,0,0,0,0,0,0,0,1,0,2,2,6,7,7,18,17,38,52,11,0,0
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,20,38,0,0
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,9,11,15,9,0
1001,0,0,0,0,0,1,3,2,5,1,14,5,16,10,15,22,23,41,32,37,43,3,0,0
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,10,14,39,45,25,0,0
1015,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,5,3,5,36,6,0,0
1016,0,0,0,0,0,0,0,1,5,1,2,2,3,4,1,8,3,3,6,5,10,4,0,0
1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,3,14,27,27,28,1,0
1023,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,10,15,16,9,1,0
1024,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,4,8,27,48,12,0,0
1028,0,0,0,0,0,0,0,1,2,0,1,1,2,3,1,5,7,13,15,50,65,62,27,0
1034,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,18,11,16,12,14,8,0,0
1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,10,15,14,0,0
1048,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,10,14,18,31,62,67,67,101,0
1052,0,0,0,0,0,2,2,4,3,4,13,15,14,13,7,8,18,15,8,9,13,0,0,0
1061,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,8,8,15,22,8,0,0
1065,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3,15,21,21,21,15,0
1068,0,0,0,0,0,0,0,0,3,1,2,4,3,1,4,9,23,39,74,134,105,14,0,0
1073,0,0,0,0,0,0,0,0,2,0,1,2,2,2,5,6,6,14,23,50,26,18,5,0
1074,0,0,0,0,0,0,2,5,5,4,6,3,1,1,0,3,3,1,2,6,6,4,0,0
1078,0,0,0,0,0,0,2,0,0,0,2,3,3,2,5,7,12,12,11,19,41,8,0,0
1090,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,2,17,19,2,0,0
1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,30,13,0,0
1106,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,7,14,8,8,11,10,17,0,0
1108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,9,11,14,14,46,29,32,0
1141,1,0,0,0,2,3,3,4,6,3,12,10,12,6,15,10,18,14,27,40,56,54,53,0
1145,0,0,0,0,0,0,0,2,3,0,1,3,2,6,6,7,8,4,6,22,14,11,2,0
1147,0,0,0,0,0,1,1,1,4,1,9,7,3,1,3,5,5,10,21,31,26,24,4,0
1148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,12,10,5,7,4,0,0,0
1154,0,0,0,0,0,1,0,1,5,3,3,3,16,20,18,18,21,17,31,32,23,16,0,0
1155,0,0,0,0,1,0,2,4,5,2,8,5,10,1,6,12,17,30,28,25,33,2,0,0
1158,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,5,9,3,11,26,13,5,0,0
1163,0,0,0,0,0,0,1,1,2,1,1,2,3,4,2,7,18,25,29,29,37,23,1,0
1164,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,4,1,6,11,19,12,2,0
1165,0,0,0,0,0,2,6,7,10,10,15,19,15,15,15,20,24,29,53,70,101,18,0,0
1166,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,12,25,31,44,61,57,0,0
1168,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5,3,3,2,3,9,15,11,0,0
1175,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,4,8,22,29,71,76,30,0,0
1198,0,0,0,0,0,1,1,3,3,1,3,1,3,2,8,15,38,45,42,36,30,10,0,0
1200,0,0,0,0,0,0,0,1,2,1,2,4,8,6,9,18,36,42,85,117,191,155,0,0
