user,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
264,27,45,12,20,46,12,1,23,22,0,2,12,4,26,21,14,0,0
266,22,28,9,10,11,8,0,43,15,0,0,9,7,21,10,10,8,0
271,105,73,21,17,103,44,6,116,42,0,45,11,35,29,81,112,14,1
279,23,52,38,43,107,15,0,78,50,0,1,32,8,103,6,15,1,1
284,27,11,2,2,8,23,0,38,3,1,6,0,9,2,5,21,9,5
285,64,72,12,23,30,19,0,59,32,0,2,9,13,20,39,33,9,3
294,157,130,46,49,131,61,2,163,69,7,26,27,34,66,98,110,30,7
304,29,15,1,1,6,15,0,31,6,0,4,2,12,4,15,26,6,2
312,39,20,0,0,17,24,0,29,1,1,8,0,12,10,7,49,6,0
313,24,17,5,6,38,6,0,16,10,0,9,1,3,11,11,16,3,0
316,43,35,7,6,27,15,0,22,9,1,3,2,3,10,26,25,4,2
317,76,31,2,1,64,56,4,57,6,2,5,2,14,16,31,64,2,2
318,98,76,42,31,68,37,2,85,34,3,17,6,30,19,77,69,5,5
337,142,83,19,23,90,85,0,146,36,3,12,3,28,54,39,119,23,3
340,34,17,3,3,20,51,0,47,4,3,0,1,19,7,13,35,3,3
342,16,10,4,1,18,19,0,42,5,2,3,0,14,8,11,21,5,2
348,52,89,66,57,269,77,76,348,67,11,9,50,41,173,31,75,31,5
351,14,14,3,2,14,8,8,23,4,2,5,2,5,6,9,9,3,1
359,117,72,24,12,82,64,12,216,32,4,12,7,31,63,53,113,27,3
361,36,26,7,6,12,19,0,28,6,1,5,3,6,8,11,30,5,1
367,184,97,19,10,75,84,0,138,40,3,26,6,30,25,70,145,29,14
370,112,95,29,31,156,88,1,202,58,3,25,7,60,80,78,133,17,10
372,15,7,2,2,22,25,1,38,5,1,5,0,11,8,5,23,4,4
375,11,9,4,3,46,15,1,61,2,1,0,3,8,26,3,13,6,0
379,28,13,2,0,11,10,0,27,2,0,6,1,5,6,29,20,7,3
383,10,8,2,2,18,7,1,23,8,0,8,0,9,7,14,19,2,0
387,43,47,24,40,136,64,7,143,57,2,56,19,36,30,41,92,10,8
388,47,32,16,8,35,24,0,52,20,1,20,10,16,12,24,47,7,2
394,65,57,20,17,119,57,58,178,27,10,16,17,21,45,34,72,19,11
395,26,20,14,22,38,8,0,29,32,0,15,10,7,15,18,23,3,1
398,25,9,0,0,4,20,0,33,3,0,0,0,5,3,10,21,6,1
407,9,14,0,0,23,15,0,72,0,2,2,4,5,25,5,13,8,4
409,90,89,24,36,63,22,0,74,48,0,14,15,16,30,43,53,14,11
413,79,72,31,27,125,64,19,255,53,9,18,19,42,111,44,76,36,11
419,14,14,11,9,66,9,2,16,5,0,2,2,3,13,8,8,2,0
421,118,62,9,11,89,63,6,108,25,1,16,1,32,35,46,89,26,14
422,117,95,30,22,52,16,1,31,38,0,19,9,6,13,81,56,5,4
425,68,59,14,24,115,73,10,184,30,16,15,11,37,58,39,64,21,15
427,25,18,7,8,57,32,0,58,15,2,8,4,12,26,19,33,6,3
430,132,86,17,18,95,50,3,79,26,1,27,9,15,40,72,82,15,3
431,18,8,3,3,10,18,2,33,5,0,1,3,10,10,9,24,4,0
436,27,34,16,18,55,17,1,35,16,0,12,9,5,10,20,18,7,0
440,98,83,8,13,55,32,0,89,32,2,15,4,17,32,68,61,16,6
442,8,2,0,0,7,12,11,33,0,1,3,0,3,3,4,13,10,1
448,12,20,1,3,71,38,9,83,13,11,9,2,19,20,21,30,7,3
451,28,15,12,0,83,41,1,143,16,6,13,6,27,50,33,39,7,2
455,5,4,1,0,13,17,0,60,3,1,3,1,14,21,7,31,6,1
457,64,54,7,7,69,54,0,108,24,3,14,12,23,36,45,63,16,6
459,44,33,3,0,50,33,3,73,9,3,3,1,13,25,19,34,8,1
462,84,76,32,24,70,36,1,87,37,4,16,6,18,43,44,64,8,1
466,20,54,47,53,86,10,0,44,45,0,11,27,5,34,21,12,2,1
469,12,9,6,1,11,18,2,55,7,0,0,0,5,7,7,12,11,0
471,22,16,3,7,34,18,1,69,6,0,1,11,3,21,2,23,9,11
482,20,19,16,19,72,21,0,49,13,0,3,4,5,53,5,26,2,1
485,19,13,4,3,14,11,1,16,7,1,2,0,5,5,6,15,3,0
486,16,24,12,23,81,14,1,73,15,0,1,21,3,65,7,10,10,11
492,78,72,21,15,85,38,1,93,40,3,21,12,27,30,49,69,8,0
500,20,19,9,5,27,27,8,71,13,1,5,1,10,21,10,23,21,1
503,35,26,3,3,16,25,0,52,9,0,19,1,21,10,25,82,4,0
504,16,22,11,13,60,27,7,99,18,5,2,7,14,44,12,27,16,0
505,23,30,23,18,58,25,1,42,24,1,4,3,7,20,14,17,5,2
508,45,41,9,8,43,38,9,98,11,4,9,4,19,32,23,47,18,5
512,62,30,0,1,14,33,2,62,6,3,12,0,17,14,33,61,11,1
520,167,75,14,34,163,102,7,139,26,0,8,8,19,41,50,153,16,1
521,69,30,5,3,32,34,1,58,15,1,5,1,16,13,30,45,11,3
532,13,16,12,9,21,4,0,24,15,0,9,8,8,17,8,15,0,0
534,80,54,14,9,25,17,0,48,30,0,15,5,14,16,58,57,11,0
535,23,30,6,8,55,10,6,66,16,1,6,3,3,28,15,18,2,0
540,40,36,18,10,38,28,1,70,21,5,3,3,15,13,30,40,12,2
546,62,34,4,4,63,48,2,96,11,2,7,5,13,43,28,55,9,5
548,7,10,4,9,31,9,0,22,7,0,0,3,1,18,4,8,2,0
557,30,16,0,0,31,21,1,55,6,2,17,3,16,12,16,37,7,0
563,21,6,0,0,11,18,0,44,4,2,9,0,7,6,7,26,5,2
571,31,25,1,2,21,14,0,23,9,1,5,0,6,6,16,20,6,1
572,191,120,37,55,317,150,18,350,76,4,42,13,79,95,102,240,28,6
573,15,10,3,2,11,25,2,57,2,7,1,1,14,8,2,25,13,3
577,57,44,10,10,43,36,2,55,24,3,14,2,31,17,40,76,5,0
578,88,72,12,17,155,44,5,101,32,0,36,7,21,51,57,77,3,4
586,188,98,39,17,217,120,15,228,42,7,37,9,45,60,111,169,22,21
588,22,21,6,9,34,11,0,34,12,0,8,3,3,18,10,23,2,2
598,14,9,0,1,8,26,0,63,3,10,1,2,13,15,4,27,7,2
604,27,33,10,20,60,10,0,43,21,0,6,11,5,36,13,21,2,1
609,61,49,16,14,85,69,10,215,19,8,9,14,38,75,37,84,26,12
612,7,8,1,2,17,14,2,47,6,1,2,0,9,15,5,23,5,0
614,62,88,34,32,90,30,13,172,65,1,19,16,37,81,49,68,16,1
617,9,2,1,0,8,18,0,32,5,0,5,1,10,8,4,15,3,2
619,30,37,17,23,116,24,4,88,19,0,1,20,7,69,14,24,8,1
626,13,9,0,0,18,9,5,22,5,0,4,0,2,6,6,13,2,2
631,103,89,29,34,135,87,1,176,54,8,42,7,49,65,63,103,15,7
633,7,11,6,6,25,13,0,35,6,1,3,3,6,18,8,12,4,0
637,100,78,16,18,46,63,2,158,45,5,20,11,42,43,53,91,21,12
649,13,11,2,8,21,14,0,26,9,1,2,3,8,4,9,18,2,0
650,13,10,5,3,47,21,2,41,11,3,6,9,8,13,14,25,6,0
661,4,3,0,3,29,14,2,70,6,2,0,3,10,33,3,16,5,1
662,30,14,8,2,33,39,2,77,10,3,5,1,17,20,31,43,7,0
664,15,4,1,2,29,20,3,31,3,0,6,4,3,8,3,24,2,0
672,16,26,14,6,36,31,1,83,23,3,15,3,18,10,19,38,8,2
689,120,59,2,2,58,66,1,84,15,2,12,0,18,26,38,103,18,5
692,36,21,13,9,19,11,1,19,4,0,1,0,3,3,20,14,4,0
693,14,9,1,1,23,16,1,33,4,2,2,3,7,12,11,17,1,0
694,21,58,43,69,143,13,4,58,42,2,1,28,14,68,14,13,7,7
700,37,35,7,8,37,21,0,19,17,0,7,2,9,9,21,28,1,2
710,61,49,14,11,60,42,30,140,25,4,79,7,30,27,57,85,11,7
724,79,60,7,11,71,35,1,80,24,2,22,7,18,17,57,54,15,13
729,98,57,17,9,88,59,3,101,21,1,14,4,24,33,41,77,15,4
735,63,45,16,9,78,85,18,186,19,5,7,5,29,37,17,86,23,5
737,30,26,6,10,39,14,1,20,8,0,2,6,2,12,10,23,2,0
738,32,26,4,5,17,33,1,69,6,6,3,2,11,13,11,47,16,1
739,110,71,17,13,95,100,8,194,24,6,15,7,38,54,71,130,17,4
741,197,152,29,34,294,196,8,562,70,26,36,29,89,222,71,245,93,47
742,55,43,15,15,31,26,1,47,15,1,3,5,9,16,32,38,9,0
744,144,112,22,34,163,46,1,166,39,0,14,11,23,95,92,95,22,11
748,14,15,7,0,15,11,0,27,9,1,9,0,4,8,9,13,2,0
756,11,7,1,0,28,13,0,32,7,0,3,0,3,15,4,13,3,0
763,41,27,1,0,9,7,0,12,5,0,1,2,4,5,26,20,5,0
768,159,81,11,5,79,76,0,107,45,2,44,4,35,17,85,128,16,7
770,14,14,4,5,64,33,2,113,16,5,5,5,17,64,11,33,7,0
774,9,11,2,2,8,13,1,44,2,0,2,3,0,8,4,6,9,6
775,240,223,50,79,420,159,28,530,115,16,118,66,81,169,160,237,59,29
777,95,75,13,15,201,97,28,339,36,5,59,13,48,104,59,152,30,6
779,59,62,6,11,49,22,1,45,21,0,8,5,7,23,38,34,3,2
784,15,21,11,14,40,14,2,52,9,1,0,4,8,31,12,14,1,0
786,22,25,16,14,18,17,0,46,8,0,2,0,7,10,18,14,3,2
787,5,5,0,1,22,26,0,34,2,3,7,1,20,13,5,34,4,3
789,13,20,14,16,23,1,0,19,15,0,2,4,1,12,10,6,0,0
804,47,36,10,17,38,36,0,70,24,2,13,13,9,20,14,45,10,6
808,27,31,28,13,21,9,0,21,21,0,3,4,3,9,20,7,2,1
811,28,23,4,4,30,20,0,48,8,3,2,0,13,21,16,22,5,0
827,19,17,7,9,15,20,1,37,10,0,5,2,8,11,12,25,4,2
828,54,34,5,3,23,31,0,54,18,0,2,0,16,14,18,35,8,2
829,125,134,71,60,149,28,2,112,70,0,10,25,17,80,98,66,8,3
841,34,24,4,4,24,22,0,29,9,0,2,0,7,7,18,28,4,0
843,25,17,0,0,47,42,15,127,12,1,8,0,13,27,11,49,14,2
844,35,23,8,10,11,16,0,24,13,1,8,0,8,5,13,31,2,1
846,57,41,9,8,45,41,4,100,25,4,22,7,13,35,33,53,8,5
847,93,72,11,14,143,75,5,206,42,5,27,19,34,78,48,100,23,4
854,24,22,1,0,7,8,0,21,6,1,1,0,6,8,11,11,6,1
864,15,12,1,2,11,5,0,23,10,0,4,0,7,9,3,13,5,7
865,7,9,2,2,11,20,0,44,9,2,6,1,8,6,11,31,4,0
866,14,9,10,3,14,2,1,24,5,0,0,8,4,15,14,12,4,0
868,34,28,2,3,55,46,1,140,13,5,10,6,25,38,12,52,39,11
872,85,79,37,65,175,49,6,200,56,0,20,37,28,139,30,78,22,3
873,42,29,9,4,23,24,1,34,12,2,6,3,14,15,19,37,2,1
878,9,16,9,7,42,30,3,97,9,3,0,4,16,40,5,27,12,1
887,15,15,5,3,6,17,1,40,13,2,9,0,18,10,20,32,2,1
890,22,19,5,6,21,6,0,19,9,0,2,4,1,12,13,9,3,1
891,31,29,4,4,15,5,0,26,6,1,1,2,7,12,26,15,9,0
893,38,43,42,46,117,27,0,107,48,3,9,35,14,93,18,30,5,1
894,18,16,1,1,27,24,4,47,8,0,6,0,10,15,14,26,8,0
898,5,9,5,8,17,6,0,33,6,0,1,3,3,25,2,3,9,2
902,42,36,17,20,57,26,0,53,22,0,3,5,9,24,22,27,11,2
910,97,64,10,18,117,83,6,214,32,3,11,17,29,71,41,112,30,10
912,24,13,5,3,14,18,0,32,10,0,14,1,13,8,16,32,5,0
913,15,8,2,0,12,24,1,48,4,1,4,1,14,12,7,23,8,2
915,9,15,1,3,31,16,1,47,5,1,1,3,8,19,3,14,6,3
916,47,42,10,14,50,33,4,59,20,2,6,3,16,14,25,40,9,4
919,17,10,0,0,18,34,0,96,4,1,3,2,11,29,8,30,8,2
923,27,18,4,4,44,25,0,49,9,0,2,2,8,20,22,27,3,2
924,25,11,6,5,16,22,0,32,12,3,6,3,10,5,11,28,6,2
926,33,30,15,11,18,15,0,30,14,1,5,5,9,13,19,24,2,0
932,49,53,14,16,68,19,0,29,21,0,3,5,9,13,35,27,7,2
933,30,40,32,30,46,20,1,53,29,0,2,14,11,26,12,19,5,2
935,80,73,29,29,96,43,3,80,25,3,6,19,22,59,38,69,7,5
937,25,6,1,1,18,30,0,27,2,1,2,2,11,1,6,28,2,0
940,9,9,2,1,60,29,36,106,11,1,6,2,16,32,9,29,5,1
948,34,40,12,14,17,11,0,27,21,0,0,4,11,17,20,21,4,0
949,23,30,27,7,20,10,0,46,26,1,13,3,16,18,42,29,4,0
951,102,53,5,3,49,52,0,65,25,2,24,1,21,16,33,83,17,5
964,101,101,52,61,58,30,1,35,37,0,2,25,9,24,47,52,6,1
969,99,63,15,13,89,118,0,240,38,9,64,3,68,38,70,160,21,12
971,133,95,11,17,217,127,6,309,50,12,54,17,62,79,84,164,43,12
975,57,30,2,2,58,50,8,116,14,5,7,1,26,27,38,76,13,7
979,42,32,0,0,24,19,4,31,9,1,0,0,4,4,20,26,8,1
982,207,124,49,45,292,191,11,531,73,16,155,29,114,137,95,278,56,29
984,58,53,11,12,61,25,0,48,18,0,6,2,8,32,31,39,7,4
990,22,27,11,11,16,8,0,21,13,0,3,5,3,10,12,9,2,0
994,7,10,1,1,20,7,4,48,4,0,0,3,2,18,3,8,4,0
995,71,60,33,16,59,18,0,40,35,1,18,6,14,15,64,53,1,2
997,23,9,2,2,8,28,0,43,5,1,0,0,12,8,5,28,6,2
1000,35,22,10,5,7,9,0,15,7,0,2,0,9,2,27,23,2,0
1001,59,77,35,56,131,30,0,83,50,1,25,44,16,50,40,50,9,5
1003,75,56,7,11,48,24,3,47,23,1,10,3,11,22,47,49,11,1
1015,20,18,11,11,20,12,0,29,2,0,2,4,1,10,1,12,4,2
1016,7,5,1,1,19,13,4,39,2,3,4,0,6,15,1,15,5,1
1022,57,39,6,8,22,19,0,38,8,1,10,2,15,16,55,41,7,0
1023,15,19,10,13,35,5,0,20,9,0,2,5,2,18,14,12,1,0
1024,17,18,3,4,26,23,3,69,10,1,5,4,9,27,6,28,8,0
1028,72,58,30,30,109,49,9,100,36,1,10,21,27,51,38,66,8,0
1034,28,14,0,0,21,31,0,45,2,5,12,1,14,10,24,42,5,1
1036,16,2,1,0,13,17,0,21,1,1,6,0,9,5,10,22,4,0
1048,142,103,33,26,94,100,14,194,40,3,11,5,39,30,82,130,21,5
1052,11,8,3,5,32,19,7,106,6,7,4,11,13,32,5,22,14,12
1061,40,35,6,6,17,7,0,17,9,0,3,1,3,4,45,21,2,0
1065,38,27,8,8,29,25,2,42,11,1,7,3,14,18,32,36,8,0
1068,163,113,24,42,172,67,0,158,42,1,23,18,27,71,60,111,18,10
1073,42,36,15,16,74,41,0,68,16,2,7,10,16,29,24,45,9,2
1074,8,14,4,5,21,5,0,22,10,0,0,4,5,11,8,9,5,1
1078,41,36,8,7,53,21,4,44,17,1,7,5,8,18,17,25,6,3
1090,6,8,4,6,32,5,0,14,5,0,3,3,6,13,5,5,1,0
1094,42,16,4,3,6,18,1,24,3,0,3,0,4,1,7,23,7,1
1106,53,26,1,0,25,19,0,22,3,1,5,2,9,4,35,38,4,1
1108,53,44,27,18,35,27,1,94,32,1,6,3,17,25,35,34,8,0
1141,98,87,24,23,69,53,6,194,32,10,19,14,52,58,99,97,30,5
1145,20,15,0,1,12,29,2,57,7,6,12,1,26,6,11,43,7,3
1147,15,18,1,0,54,51,3,114,7,7,7,1,31,30,10,52,8,3
1148,21,17,2,4,13,7,0,18,9,0,10,0,1,2,14,14,3,0
1154,36,29,7,9,53,60,17,132,17,5,15,17,25,28,17,62,13,16
1155,30,26,6,14,92,19,1,97,16,0,8,21,11,70,19,25,13,6
1158,44,26,2,1,19,19,0,27,2,1,9,1,12,5,24,43,4,0
1163,81,65,21,26,69,26,2,61,27,0,9,7,9,23,55,40,8,5
1164,25,21,4,4,8,15,0,30,9,0,7,2,13,8,16,25,5,0
1165,67,55,22,20,117,90,5,256,40,21,32,23,61,80,41,110,24,20
1166,80,69,8,16,89,31,0,111,35,0,7,12,9,76,48,48,9,3
1168,21,17,1,1,7,10,0,28,8,2,2,0,7,2,26,25,7,0
1175,45,27,6,9,131,42,1,134,16,1,2,14,18,99,10,50,14,0
1198,67,72,23,31,100,33,2,91,44,2,26,15,19,35,63,59,6,5
1200,240,147,26,28,188,168,5,347,76,5,75,10,87,91,131,279,35,9
1202,30,12,2,1,6,33,0,40,0,1,8,2,10,5,16,35,4,0
1206,15,10,7,7,62,19,0,24,6,0,6,1,2,20,8,10,3,1
1222,99,92,35,43,109,71,2,229,51,9,18,23,38,105,54,97,36,10
1226,33,34,5,9,17,12,0,17,21,0,4,5,3,6,16,19,1,0
1227,36,37,6,14,50,33,0,51,13,1,8,8,17,21,10,47,4,7
1228,44,27,2,3,55,51,3,128,12,8,13,7,26,39,25,60,20,6
1233,31,27,3,5,19,16,0,28,8,1,4,2,8,9,18,27,5,0
1239,31,23,6,4,8,7,0,14,6,0,4,1,4,4,17,17,4,0
1244,342,202,47,71,308,138,6,255,111,2,150,24,61,89,176,307,32,12
1246,7,22,8,7,39,9,0,30,13,1,1,2,4,16,8,10,4,0
1251,4,8,1,2,26,12,0,46,1,1,0,0,4,12,1,8,7,1
1252,127,98,18,24,82,55,0,86,48,1,19,8,17,36,51,79,15,6
1254,77,77,14,28,83,21,0,75,26,0,2,14,3,40,21,49,25,4
1256,21,6,0,0,22,27,1,63,1,1,3,0,14,17,7,34,10,0
1261,29,24,3,5,15,16,1,29,8,0,2,2,6,9,15,26,5,1
1265,27,32,14,25,53,11,0,30,26,0,24,7,12,11,11,29,1,0
1268,142,79,18,15,56,61,0,104,18,1,6,2,30,31,104,129,5,0
1271,17,9,1,1,25,19,0,28,6,2,2,1,8,4,11,22,5,2
1272,39,28,8,7,12,17,1,36,10,0,7,1,3,7,22,16,13,4
1274,56,38,11,13,106,60,1,123,34,4,23,12,30,56,29,65,16,1
1277,18,5,1,1,14,22,0,32,1,3,2,1,8,7,2,23,1,1
1282,61,43,4,3,31,28,0,78,13,0,32,0,28,19,64,75,5,1
1288,119,69,6,13,88,82,0,134,26,0,20,1,31,47,42,127,22,3
1291,5,5,1,0,11,5,4,41,4,0,1,0,5,11,10,11,4,0
1305,34,24,12,11,43,40,2,70,11,3,6,5,19,26,22,41,6,3
1311,18,56,55,93,106,16,1,66,41,1,5,26,8,44,7,12,5,4
1317,42,47,11,18,41,22,0,45,27,0,8,6,9,18,26,27,6,1
1322,45,40,8,11,33,25,1,48,19,0,0,7,12,22,18,34,5,2
1328,47,27,0,0,18,10,0,22,2,0,2,0,6,13,7,36,3,1
1331,15,18,17,10,37,19,0,67,18,2,3,4,10,28,14,18,5,1
1335,12,17,12,8,15,11,0,23,8,1,1,4,3,8,10,12,4,0
1338,35,38,8,12,17,3,0,40,14,0,9,4,6,9,33,21,5,0
1339,239,154,19,18,87,75,10,187,49,0,29,6,38,69,153,179,20,8
1341,30,24,11,6,40,32,3,87,14,3,11,3,26,26,37,52,8,2
1347,26,34,14,12,20,8,0,20,26,0,1,4,2,9,13,15,4,2
1349,7,3,1,0,10,19,2,37,3,0,1,0,8,6,3,19,4,1
1364,22,25,9,7,36,18,3,29,15,3,1,2,11,18,12,23,2,1
1370,16,17,4,4,18,14,0,17,9,0,1,1,6,5,7,15,1,0
1374,35,25,1,1,63,45,13,101,12,2,0,1,17,25,17,44,14,4
1376,94,76,16,24,111,51,1,113,36,2,13,13,19,60,46,81,17,7
1384,15,13,7,7,18,10,0,35,7,1,2,3,7,14,7,13,9,1
1387,23,31,9,15,29,14,1,59,21,1,2,3,9,25,10,19,5,1
1393,28,18,3,3,17,11,0,21,2,1,7,2,4,5,21,19,2,1
1396,9,10,3,2,13,14,0,34,4,11,2,0,12,11,2,16,6,1
1398,18,9,1,2,21,26,0,74,1,0,1,2,7,14,2,20,12,0
1409,13,6,1,3,14,21,1,57,5,2,5,0,12,16,4,20,6,0
1411,38,24,1,5,59,34,8,94,14,3,4,6,12,34,18,54,11,6
1419,211,139,43,58,295,138,5,334,73,5,44,26,42,156,94,193,32,7
1426,40,49,25,38,55,23,0,65,29,0,7,15,10,33,20,32,2,1
1433,116,81,16,9,75,74,1,165,24,3,10,4,44,35,66,99,34,8
1446,98,61,33,26,39,29,2,64,36,1,13,8,15,19,43,51,7,0
1453,74,52,13,16,112,88,30,217,32,9,41,9,48,42,44,116,20,5
1454,37,17,3,3,17,34,0,59,8,0,0,3,16,10,17,43,12,0
1455,44,34,18,22,36,13,0,16,15,0,11,5,7,18,31,31,1,1
1456,7,8,6,7,29,10,0,30,6,0,1,6,2,16,4,7,3,0
1458,66,51,7,7,40,27,0,36,17,2,15,6,9,12,38,48,7,2
1468,20,20,7,5,23,13,0,59,8,1,2,3,6,15,18,21,2,0
1475,2,6,0,1,15,6,5,37,1,0,1,1,8,12,5,11,1,0
1476,31,21,3,2,23,18,2,24,9,2,2,1,15,9,18,31,5,0
1478,15,19,8,9,19,7,0,21,10,1,0,1,4,13,14,11,2,0
1486,13,17,13,12,15,7,1,25,13,0,3,9,1,8,12,7,3,0
1489,21,19,0,2,13,17,0,39,6,1,3,0,9,6,12,24,16,2
1494,55,52,11,20,86,52,0,102,29,2,17,11,12,19,35,54,12,10
1496,108,103,54,39,63,23,0,53,59,0,9,5,13,26,70,60,9,1
1500,15,10,6,5,21,22,0,42,6,1,3,2,10,9,8,20,3,5
1503,28,22,15,12,28,29,0,59,17,2,1,1,14,19,12,26,8,1
1507,161,152,45,63,208,93,4,276,96,5,39,26,37,86,102,129,36,19
1515,64,74,30,28,119,66,12,196,46,24,41,32,26,66,41,60,32,15
1516,63,38,0,5,25,21,0,43,13,1,1,1,8,12,24,36,14,4
1518,149,116,15,19,108,81,1,106,41,1,35,9,33,24,80,127,16,5
1525,63,43,14,9,50,48,0,62,23,2,15,3,17,15,40,59,12,4
1528,48,33,7,6,35,50,5,96,8,2,5,1,16,16,24,51,13,5
1532,12,16,4,7,17,2,0,23,4,0,2,2,4,16,5,8,4,0
1539,9,22,5,6,32,15,0,29,15,1,1,0,9,16,12,17,1,1
1550,23,18,3,3,24,11,0,14,10,1,1,2,3,7,13,14,4,1
1551,13,5,0,0,12,11,4,29,0,0,2,0,7,7,8,17,5,1
1554,78,62,15,11,86,64,2,139,35,1,13,8,28,45,43,80,17,2
1559,47,54,21,25,45,11,3,32,22,0,3,6,6,25,25,25,6,0
1562,47,26,2,4,46,24,0,36,12,0,10,1,5,13,19,32,8,1
1568,8,2,2,1,12,10,0,40,9,3,32,5,17,14,11,20,2,0
1572,25,10,2,0,26,13,0,8,3,0,7,3,5,3,6,20,0,0
1573,33,35,19,14,68,42,7,200,19,2,13,2,29,80,24,59,21,3
1584,27,19,3,4,20,9,0,29,12,0,10,2,4,11,10,25,4,0
