item,genres
199,Drama|Musical|Romance
203,Comedy
204,Action
207,Drama|Romance
208,Action|Adventure|Sci-Fi
213,Drama
214,Drama|War
215,Drama|Romance
216,Comedy
218,Comedy|Drama
222,Drama|Romance
223,Comedy
224,Comedy|Drama|Romance
225,Drama|Thriller
227,Action|Thriller
229,Drama|Thriller
230,Drama|Thriller
231,Adventure|Comedy
232,Comedy|Drama|Romance
233,Drama
235,Comedy|Drama
236,Action|Comedy|Romance
237,Comedy|Romance
239,Animation|Children|Comedy|Romance
246,Documentary
247,Crime|Drama
249,Drama|Romance
250,Children|Comedy
252,Comedy|Romance
253,Drama|Horror
256,Comedy|Sci-Fi
257,Mystery|Thriller
260,Action|Adventure|Sci-Fi
261,Drama
262,Children|Drama
265,Drama|Fantasy|Romance
266,Drama|Romance|War|Western
267,Comedy
272,Comedy|Drama
273,Drama|Horror|Sci-Fi
276,Comedy|Romance
277,Drama
280,Drama|Thriller
281,Comedy|Drama|Romance
282,Drama
288,Action|Crime|Thriller
289,Comedy|Romance
290,Crime|Drama
292,Action|Drama|Sci-Fi|Thriller
293,Action|Crime|Drama|Thriller
296,Comedy|Crime|Drama|Thriller
299,Drama
300,Drama
302,Drama|Romance
303,Action|Thriller|Western
305,Comedy
306,Drama
307,Drama
308,Comedy|Drama
313,Animation|Children
314,Children|Drama|Fantasy|Mystery
315,Action|Drama|Thriller
316,Action|Adventure|Sci-Fi
317,Comedy|Drama|Fantasy
318,Crime|Drama
319,Comedy|Drama|Thriller
321,Drama
322,Comedy|Drama
324,Comedy|Drama
326,Drama
327,Action|Comedy|Sci-Fi
328,Horror|Thriller
329,Adventure|Drama|Sci-Fi
332,Horror|Sci-Fi
333,Comedy
334,Drama
337,Drama
338,Action|Sci-Fi|Thriller
339,Comedy|Romance
342,Comedy
344,Comedy
345,Comedy|Drama
346,Drama|Musical
347,Drama|Film-Noir|Romance
348,Comedy
349,Action|Crime|Drama|Thriller
350,Drama|Mystery|Thriller
351,Comedy|Drama|Romance
352,Comedy|Drama
353,Action|Crime|Fantasy|Thriller
355,Children|Comedy|Fantasy
356,Comedy|Drama|Romance|War
357,Comedy|Romance
358,Drama
361,Comedy|Drama|Romance
362,Adventure|Children|Romance
363,Documentary
364,Adventure|Animation|Children|Drama|Musical
365,Drama
366,Drama|Horror|Mystery|Thriller
367,Action|Comedy|Crime|Fantasy
368,Adventure|Comedy|Western
370,Action|Comedy
371,Comedy|Drama
372,Comedy|Drama|Romance
373,Thriller
374,Children|Comedy
376,Action|Thriller
377,Action|Romance|Thriller
379,Action|Sci-Fi|Thriller
380,Action|Adventure|Comedy|Romance|Thriller
381,Drama|Romance
382,Drama|Horror|Romance|Thriller
383,Western
390,Action|Crime|Drama
393,Action|Adventure|Fantasy
405,Action|Fantasy
407,Horror|Thriller
408,Drama
409,Crime|Drama
410,Children|Comedy|Fantasy
412,Drama
413,Comedy
414,Comedy
417,Comedy|Romance
419,Comedy
420,Action|Comedy|Crime|Thriller
421,Adventure|Children|Drama
423,Action|Thriller
426,Horror|Sci-Fi|Thriller
427,Drama|Mystery|Romance|Thriller
428,Drama
431,Crime|Drama
432,Adventure|Comedy|Western
434,Action|Adventure|Thriller
435,Comedy|Sci-Fi
436,Drama|Thriller
440,Comedy|Romance
441,Comedy
442,Action|Adventure|Sci-Fi
446,Drama|Romance
448,Drama
449,Comedy
450,Comedy|Drama
454,Drama|Thriller
455,Adventure|Children|Drama
456,Crime|Drama|Thriller
457,Thriller
464,Action|Adventure|Crime|Thriller
466,Action|Comedy|War
468,Comedy|Romance
469,Drama|Romance
471,Comedy
473,Comedy|War
474,Action|Thriller
475,Drama
477,Drama|Musical
479,Action|Crime|Thriller
480,Action|Adventure|Sci-Fi|Thriller
481,Drama|Thriller
482,Crime|Drama|Thriller
483,Drama
485,Action|Adventure|Comedy|Fantasy
489,Comedy
490,Thriller
491,Drama
492,Comedy|Mystery
493,Action|Crime|Drama
494,Action|Adventure|Thriller
495,Drama
497,Comedy|Romance
500,Comedy|Drama
501,Drama
502,Action|Children|Romance
506,Drama|Fantasy|Romance
507,Crime|Drama|Thriller
508,Drama
509,Drama|Romance
514,Comedy
515,Drama|Romance
516,Comedy|Drama
517,Action|Drama|Mystery
518,Comedy
519,Action|Crime|Drama|Sci-Fi|Thriller
520,Comedy
521,Crime|Thriller
522,Action|Drama
524,Drama
527,Drama|War
529,Drama
531,Children|Drama
532,Comedy|Crime|Horror
533,Action|Adventure|Fantasy|Mystery
534,Drama|Romance
535,Drama
537,Drama
538,Drama
539,Comedy|Drama|Romance
540,Thriller
541,Action|Sci-Fi|Thriller
542,Comedy|Drama|Romance
543,Comedy|Romance|Thriller
544,Action|Crime
546,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
548,Action|Mystery|Thriller
549,Drama|Musical
550,Comedy|Romance
551,Animation|Children|Fantasy|Musical
552,Action|Adventure|Comedy|Romance
553,Action|Drama|Western
555,Crime|Thriller
556,Documentary
558,Action|Adventure|Animation|Children|Fantasy
562,Comedy|Drama
565,Drama|Horror
567,Comedy|Drama
569,Comedy|Drama
574,Comedy|Drama
575,Children|Comedy
581,Documentary
585,Comedy
586,Children|Comedy
587,Comedy|Drama|Fantasy|Romance|Thriller
588,Adventure|Animation|Children|Comedy|Musical
589,Action|Sci-Fi
590,Adventure|Drama|Western
592,Action|Crime|Thriller
593,Crime|Horror|Thriller
594,Animation|Children|Drama|Fantasy|Musical
595,Animation|Children|Fantasy|Musical|Romance
596,Animation|Children|Fantasy|Musical
597,Comedy|Romance
599,Adventure|Western
605,Drama|Romance
608,Comedy|Crime|Drama|Thriller
609,Adventure|Children
610,Action|Adventure|Animation|Horror|Sci-Fi
611,Action|Horror|Sci-Fi
613,Drama|Romance
616,Animation|Children
617,Comedy|Drama
627,Drama|Thriller
628,Crime|Drama|Mystery|Thriller
631,Adventure|Animation|Children|Fantasy|Musical|Romance
632,Drama|War
637,Comedy
640,Drama|Thriller
647,Action|Crime|Drama|War
648,Action|Adventure|Mystery|Thriller
653,Action|Adventure|Fantasy
659,Crime|Drama|Thriller
661,Adventure|Animation|Children|Fantasy|Musical
662,Thriller
663,Comedy
665,Comedy|Drama|War
668,Drama
670,Drama
671,Comedy|Sci-Fi
673,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
674,Adventure|Comedy|Sci-Fi
678,Drama|Thriller
680,Drama|Mystery|Romance|Sci-Fi|Thriller
688,Action|Adventure|Comedy|War
691,Comedy|Romance
694,Action|Crime|Drama
700,Comedy
702,Drama
707,Crime|Drama|Thriller
708,Comedy|Romance
709,Adventure|Animation|Children|Comedy|Musical
711,Adventure|Children
714,Drama|Mystery|Western
718,Comedy|Fantasy|Sci-Fi
719,Comedy
720,Adventure|Animation|Comedy
724,Drama|Fantasy|Horror|Thriller
728,Comedy
733,Action|Adventure|Thriller
735,Horror
736,Action|Adventure|Romance|Thriller
737,Action|Sci-Fi
741,Animation|Sci-Fi
742,Horror|Thriller
743,Comedy
745,Animation|Children|Comedy
746,Film-Noir
748,Action|Sci-Fi|Thriller
750,Comedy|War
757,Drama
760,Drama|War
761,Action|Adventure
762,Comedy|Crime
765,Comedy|Drama
766,Drama
778,Comedy|Crime|Drama
780,Action|Adventure|Sci-Fi|Thriller
781,Drama
782,Drama|Thriller
783,Animation|Children|Drama|Musical|Romance
784,Comedy|Thriller
785,Comedy
786,Action|Drama|Thriller
788,Comedy|Fantasy|Romance|Sci-Fi
798,Action|Adventure|Drama|Thriller
799,Comedy|Horror|Thriller
800,Drama|Mystery|Western
801,Children|Comedy
802,Drama|Romance
804,Comedy|Romance
805,Drama|Thriller
818,Comedy
828,Adventure|Children
829,Comedy|Fantasy|Musical
830,Comedy
832,Crime|Thriller
835,Drama
836,Action|Adventure|Thriller
837,Children|Comedy|Fantasy
838,Comedy|Drama|Romance
839,Action|Thriller
841,Horror
842,Comedy|Horror
848,Drama
849,Action|Adventure|Sci-Fi|Thriller
851,Drama
852,Comedy|Drama|Romance
858,Crime|Drama
861,Action|Comedy|Crime|Thriller
866,Crime|Drama|Romance|Thriller
875,Action|Crime|Drama
879,Horror|Thriller
880,Sci-Fi|Thriller
886,Action|Comedy|Crime
891,Horror|Thriller
892,Comedy|Drama|Romance
893,Drama
897,Adventure|Drama|Romance|War
898,Comedy|Drama|Romance
899,Comedy|Musical|Romance
900,Musical|Romance
901,Comedy|Musical
902,Drama|Romance
903,Drama|Mystery|Romance|Thriller
904,Mystery|Thriller
905,Comedy|Romance
906,Drama|Thriller
907,Comedy|Musical|Romance
908,Action|Adventure|Mystery|Romance|Thriller
909,Comedy|Drama|Romance
910,Comedy|Crime
911,Comedy|Crime|Mystery|Romance|Thriller
912,Drama|Romance
913,Film-Noir|Mystery
914,Comedy|Drama|Musical|Romance
915,Comedy|Romance
916,Comedy|Drama|Romance
917,Children|Drama
918,Musical
919,Adventure|Children|Fantasy|Musical
920,Drama|Romance|War
921,Comedy
922,Drama|Film-Noir|Romance
923,Drama|Mystery
924,Adventure|Drama|Sci-Fi
926,Drama
927,Comedy
928,Drama|Mystery|Romance|Thriller
929,Drama|Film-Noir|Mystery|Thriller
930,Film-Noir|Romance|Thriller
931,Mystery|Romance|Thriller
932,Drama|Romance
933,Crime|Mystery|Romance|Thriller
934,Comedy
935,Comedy|Musical
936,Comedy|Romance
937,Comedy|Romance
938,Musical
940,Action|Adventure|Romance
941,Adventure
942,Crime|Film-Noir|Mystery
943,Drama|Fantasy|Romance
944,Drama
945,Comedy|Musical|Romance
946,Comedy|Drama|War
947,Comedy|Romance
948,Drama|Romance|Western
949,Drama
950,Comedy|Crime
951,Comedy|Romance
952,Adventure|Comedy
953,Drama|Fantasy|Romance
954,Drama
955,Comedy|Romance
965,Drama|Mystery|Thriller
968,Horror|Sci-Fi|Thriller
969,Adventure|Comedy|Romance|War
970,Adventure|Comedy|Crime|Drama|Romance
971,Drama
973,Comedy|Drama
986,Adventure|Children
991,Drama
994,Comedy|Drama
996,Action|Crime|Drama|Thriller
999,Crime|Film-Noir
1005,Children|Comedy
1006,Drama
1007,Children|Comedy|Western
1009,Adventure|Children|Fantasy
1010,Children|Comedy
1011,Adventure|Children|Comedy
1012,Children|Drama
1013,Children|Comedy|Romance
1014,Children|Comedy|Drama
1015,Adventure|Children|Drama
1016,Children|Comedy
1017,Adventure|Children
1018,Children|Comedy|Mystery
1019,Adventure|Drama|Sci-Fi
1020,Comedy
1021,Children|Comedy
1022,Animation|Children|Fantasy|Musical|Romance
1023,Animation|Children|Musical
1024,Animation|Children|Musical
1025,Animation|Children|Fantasy|Musical
1027,Adventure|Drama
1028,Children|Comedy|Fantasy|Musical
1029,Animation|Children|Drama|Musical
1030,Adventure|Animation|Children|Musical
1031,Adventure|Children|Musical
1032,Adventure|Animation|Children|Fantasy|Musical
1033,Animation|Children|Drama
1034,Comedy|Crime|Drama|Thriller
1035,Musical|Romance
1036,Action|Crime|Thriller
1037,Action|Horror|Sci-Fi|Thriller
1041,Drama
1042,Comedy|Drama
1046,Drama|Romance
1047,Action|Drama|Thriller
1049,Action|Adventure
1050,Documentary|Drama
1051,Drama
1056,Drama
1057,Comedy|Musical|Romance
1059,Drama|Romance
1060,Comedy|Drama
1061,Thriller
1064,Animation|Children|Comedy|Fantasy|Musical|Romance
1066,Comedy|Musical|Romance
1068,Crime|Film-Noir
1069,Crime|Film-Noir|Thriller
1073,Children|Comedy|Fantasy|Musical
1076,Drama|Horror|Thriller
1077,Comedy|Sci-Fi
1078,Comedy|War
1079,Comedy|Crime
1080,Comedy
1081,Comedy|Musical|Romance
1082,Drama
1083,Comedy|Musical
1084,Crime|Drama
1085,Adventure|Drama
1086,Crime|Mystery|Thriller
1088,Drama|Musical|Romance
1089,Crime|Mystery|Thriller
1090,Drama|War
1091,Comedy
1092,Crime|Mystery|Thriller
1093,Drama
1094,Drama|Romance|Thriller
1095,Drama
1096,Drama
1097,Children|Drama|Sci-Fi
1099,Children|Drama|Fantasy
1100,Action|Drama|Romance
1101,Action|Romance
1103,Drama
1104,Drama
1111,Documentary
1120,Comedy|Drama
1124,Drama
1125,Comedy|Crime
1126,Comedy|Fantasy
1127,Action|Adventure|Sci-Fi|Thriller
1128,Horror
1129,Action|Adventure|Sci-Fi|Thriller
1130,Horror|Mystery
1131,Drama|Mystery
1132,Drama
1135,Comedy
1136,Adventure|Comedy|Fantasy
1147,Documentary
1148,Animation|Children|Comedy|Crime
1150,Drama
1161,Drama|War
1162,Comedy|Drama
1169,Documentary
1171,Comedy
1172,Drama
1173,Comedy|Drama
1175,Comedy|Drama|Romance
1176,Drama|Fantasy|Romance
1177,Drama|Romance
1178,Drama|War
1179,Crime|Drama|Film-Noir
1183,Drama|Romance|War
1184,Comedy|Drama
1185,Drama
1186,Drama
1187,Drama
1188,Comedy|Romance
1189,Documentary
1190,Crime|Drama|Romance
1191,Documentary|Musical
1192,Documentary
1193,Drama
1194,Comedy
1196,Action|Adventure|Sci-Fi
1197,Action|Adventure|Comedy|Fantasy|Romance
1198,Action|Adventure
1199,Fantasy|Sci-Fi
1200,Action|Adventure|Horror|Sci-Fi
1201,Action|Adventure|Western
1202,Comedy
1203,Drama
1204,Adventure|Drama|War
1206,Crime|Drama|Sci-Fi|Thriller
1207,Drama
1208,Action|Drama|War
1209,Action|Drama|Western
1210,Action|Adventure|Sci-Fi
1211,Drama|Fantasy|Romance
1212,Film-Noir|Mystery|Thriller
1213,Crime|Drama
1214,Horror|Sci-Fi
1215,Action|Adventure|Comedy|Fantasy|Horror
1216,Adventure|Drama|Romance
1217,Drama|War
1218,Action|Crime|Drama|Thriller
1219,Crime|Horror
1220,Action|Comedy|Musical
1221,Crime|Drama
1222,Drama|War
1223,Adventure|Animation|Children|Comedy|Sci-Fi
1224,Action|Drama|Romance|War
1225,Drama
1226,Drama|Romance
1227,Crime|Drama
1228,Drama
1230,Comedy|Romance
1231,Drama
1232,Drama|Mystery|Sci-Fi
1233,Action|Drama|War
1234,Comedy|Crime
1235,Comedy|Drama|Romance
1236,Comedy|Drama|Romance
1237,Drama
1238,Comedy
1240,Action|Sci-Fi|Thriller
1241,Comedy|Fantasy|Horror
1242,Drama|War
1243,Comedy|Drama
1244,Comedy|Drama|Romance
1245,Crime|Drama|Film-Noir|Thriller
1246,Drama
1247,Comedy|Drama|Romance
1248,Crime|Film-Noir|Thriller
1249,Action|Crime|Romance|Thriller
1250,Adventure|Drama|War
1251,Drama|Fantasy
1252,Crime|Film-Noir|Mystery|Thriller
1253,Drama|Sci-Fi|Thriller
1254,Action|Adventure|Drama|Western
1255,Comedy|Horror|Sci-Fi
1256,Comedy|Musical|War
1257,Comedy|Romance
1258,Horror
1259,Adventure|Drama
1260,Crime|Film-Noir|Thriller
1261,Action|Comedy|Fantasy|Horror
1262,Action|Adventure|Drama|War
1263,Drama|War
1264,Action|Drama|Mystery|Romance|Thriller
1265,Comedy|Fantasy|Romance
1266,Drama|Western
1267,Crime|Thriller|War
1268,Comedy|Drama
1269,Comedy|Mystery|Thriller
1270,Adventure|Comedy|Sci-Fi
1271,Comedy|Crime|Drama
1272,Drama|War
1273,Comedy|Drama|Film-Noir
1274,Action|Adventure|Animation|Sci-Fi
1275,Action|Adventure|Fantasy
1276,Drama
1277,Comedy|Drama|Romance
1278,Comedy|Fantasy
1279,Comedy|Drama
1280,Drama
1281,Comedy|Drama|War
1282,Animation|Children|Fantasy|Musical
1283,Drama|Western
1284,Crime|Film-Noir|Mystery
1285,Comedy
1286,Drama|Romance
1287,Action|Adventure|Drama
1288,Comedy
1289,Documentary
1290,Drama|Romance
1291,Action|Adventure
1292,Comedy|Drama
1293,Drama
1295,Drama
1296,Drama|Romance
1297,Comedy
1298,Drama|Musical
1299,Drama|War
1300,Comedy|Drama
1301,Drama|Sci-Fi
1302,Children|Drama|Fantasy
1303,Adventure|Drama
1304,Action|Western
1305,Drama|Romance
1306,Adventure|Drama|Sci-Fi
1307,Comedy|Romance
1320,Action|Horror|Sci-Fi|Thriller
1321,Comedy|Horror|Thriller
1327,Drama|Horror|Mystery|Thriller
1333,Horror|Thriller
1334,Horror|Sci-Fi
1337,Drama|Horror|Thriller
1339,Fantasy|Horror|Romance|Thriller
1340,Drama|Horror|Sci-Fi
1342,Horror|Thriller
1343,Thriller
1344,Crime|Drama|Thriller
1345,Drama|Fantasy|Horror|Thriller
1346,Drama|Fantasy|Horror
1347,Horror|Thriller
1348,Horror
1350,Horror|Mystery|Thriller
1353,Comedy|Drama|Romance
1354,Drama|Mystery
1355,Horror|Thriller
1356,Action|Adventure|Sci-Fi|Thriller
1357,Drama|Romance
1358,Drama
1359,Children|Comedy
1361,Documentary
1363,Drama
1365,Drama
1366,Drama
1367,Adventure|Children|Comedy
1370,Action|Adventure|Thriller
1371,Adventure|Sci-Fi
1372,Action|Mystery|Sci-Fi
1373,Action|Sci-Fi
1374,Action|Adventure|Sci-Fi|Thriller
1375,Action|Adventure|Sci-Fi
1376,Adventure|Comedy|Sci-Fi
1377,Action|Crime
1378,Action|Comedy|Western
1379,Action|Western
1380,Comedy|Musical|Romance
1381,Comedy|Musical|Romance
1385,Action|Drama|Thriller
1387,Action|Horror
1388,Horror|Thriller
1389,Action|Horror
1390,Comedy
1391,Action|Comedy|Sci-Fi
1392,Comedy|Drama
1393,Drama|Romance
1394,Comedy
1395,Comedy|Drama
1396,Action|Comedy|Crime|Drama|Sci-Fi
1399,Drama
1401,Drama
1405,Adventure|Animation|Comedy|Crime
1407,Comedy|Horror|Mystery|Thriller
1408,Action|Romance|War|Western
1409,Comedy|Drama|Fantasy|Romance
1411,Crime|Drama|Romance
1414,Comedy
1416,Drama|Musical
1417,Drama
1419,Adventure|Drama
1422,Crime|Drama|Mystery|Thriller
1425,Comedy
1429,Action|Adventure|Comedy|Thriller
1430,Comedy|Thriller
1431,Action|Comedy
1438,Action|Thriller
1441,Comedy|Romance
1442,Drama
1446,Comedy|Drama
1447,Crime
1449,Comedy
1450,War
1453,Comedy|Romance
1454,Comedy|Drama
1457,Comedy|Drama|Romance
1459,Mystery|Thriller
1461,Comedy
1464,Crime|Drama|Fantasy|Film-Noir|Mystery|Romance
1465,Action|Drama
1466,Crime|Drama
1474,Children|Comedy
1475,Romance
1476,Comedy|Drama
1479,Action|Romance|Sci-Fi|Thriller
1480,Drama|Thriller
1483,Drama|Thriller
1484,Comedy|Drama|Mystery|Romance
1485,Comedy
1487,Drama|Musical
1488,Action|Drama|Thriller
1498,Drama|Romance
1499,Action|Adventure|Thriller
1500,Comedy|Crime|Romance
1503,Comedy
1513,Comedy
1515,Action|Drama|Thriller
1517,Action|Adventure|Comedy
1518,Action|Thriller
1527,Action|Adventure|Comedy|Sci-Fi
1529,Comedy|Drama
1537,Comedy|Drama|Romance
1541,Comedy|Romance
1542,Comedy|Drama|Romance
1544,Action|Adventure|Sci-Fi|Thriller
1545,Drama
1546,Comedy
1552,Action|Adventure|Thriller
1554,Drama|Romance
1556,Action|Romance|Thriller
1562,Action|Adventure|Fantasy|Thriller
1566,Adventure|Animation|Children|Comedy|Musical
1569,Comedy|Romance
1572,Drama
1573,Action|Crime|Drama|Thriller
1580,Action|Comedy|Sci-Fi
1584,Drama|Sci-Fi
1586,Action|Drama
1587,Action|Adventure|Fantasy
1588,Children|Comedy
1589,Action|Crime|Drama|Thriller
1590,Horror|Sci-Fi|Thriller
1591,Action|Adventure|Sci-Fi|Thriller
1592,Children|Comedy
1593,Comedy|Romance
1594,Comedy|Drama
1597,Drama|Mystery|Romance|Thriller
1603,Horror|Sci-Fi|Thriller
1608,Action|Thriller
1609,Drama|Thriller
1610,Action|Adventure|Thriller
1611,Drama|Romance
1614,Comedy
1615,Adventure|Drama
1616,Action|Thriller|War
1617,Crime|Film-Noir|Mystery|Thriller
1619,Adventure|Drama|War
1620,Crime|Drama|Mystery|Thriller
1623,Horror
1625,Drama|Mystery|Thriller
1627,Crime|Drama|Mystery
1629,Comedy|Romance
1631,Action|Thriller
1633,Drama
1635,Drama
1639,Comedy|Drama|Romance
1641,Comedy|Drama
1643,Drama|Romance
1644,Horror|Mystery|Thriller
1645,Drama|Mystery|Thriller
1646,Children|Comedy|Romance|Sci-Fi
1648,Comedy|Drama
1649,Documentary
1653,Drama|Sci-Fi|Thriller
1658,Romance|Thriller
1660,Drama
1663,Comedy|War
1665,Comedy
1672,Drama
1673,Drama
1674,Drama|Romance|Thriller
1676,Action|Sci-Fi
1678,Drama|Romance
1680,Drama|Romance
1681,Action|Adventure|Fantasy
1682,Comedy|Drama|Sci-Fi
1683,Drama|Romance
1687,Action|Thriller
1688,Adventure|Animation|Children|Drama|Musical
1689,Comedy|Crime|Thriller
1690,Action|Horror|Sci-Fi
1693,Drama|Mystery
1694,Drama
1699,Comedy|Drama
1701,Comedy|Drama
1702,Children|Comedy|Fantasy
1704,Drama|Romance
1707,Children|Comedy
1711,Crime|Drama|Mystery
1713,Children|Comedy
1717,Comedy|Horror|Mystery|Thriller
1719,Drama
1721,Drama|Romance
1722,Action|Adventure|Thriller
1726,Action|Adventure|Drama|Sci-Fi
1727,Drama|Romance
1729,Crime|Drama|Thriller
1730,Drama
1732,Comedy|Crime
1734,Comedy|Drama
1735,Drama|Romance
1747,Comedy
1748,Adventure|Film-Noir|Sci-Fi|Thriller
1752,Action|Crime|Thriller
1753,Comedy
1754,Crime|Drama|Fantasy|Thriller
1755,Comedy|Romance
1757,Drama|Romance
1760,Comedy
1762,Action|Horror|Sci-Fi
1769,Action|Crime|Thriller
1772,Action|Comedy|Musical
1777,Comedy|Romance
1779,Sci-Fi|Thriller
1784,Comedy|Drama|Romance
1785,Crime|Thriller
1791,Crime|Drama|Thriller
1792,Action|Crime|Thriller
1797,Documentary
1799,Comedy|Crime|Drama|Mystery|Thriller
1801,Action|Adventure|Drama
1805,Crime|Drama|Mystery|Thriller
1809,Crime|Drama
1810,Comedy|Drama
1821,Comedy|Romance
1827,Comedy|Documentary
1831,Action|Adventure|Sci-Fi
1833,Action|Drama|Thriller
1834,Crime|Drama|Mystery|Thriller
1835,Drama|Fantasy|Romance
1836,Comedy|Drama
1840,Drama
1844,Drama|Romance
1845,Comedy|Mystery|Thriller
1846,Drama
1848,Adventure|Children|Comedy|Fantasy
1858,Action|Comedy
1859,Drama
1860,Drama
1862,Horror|Sci-Fi
1866,Action|Comedy|Crime
1873,Crime|Drama|Romance|War
1875,Comedy
1876,Drama|Sci-Fi|Thriller
1880,Drama
1881,Adventure|Animation|Children|Fantasy|Musical
1882,Action|Sci-Fi|Thriller
1883,Comedy|Drama|Romance
1884,Adventure|Comedy|Drama
1885,Comedy|Drama|Romance
1887,Adventure|Comedy|Western
1888,Comedy|Drama|Romance
1889,Drama|Mystery|Thriller
1892,Thriller
1894,Adventure|Comedy|Romance
1895,Comedy|Drama|Romance
1897,Drama|Romance
1900,Comedy|Drama
1904,Comedy|Drama
1907,Adventure|Animation|Children|Comedy|Drama|Musical|Romance
1909,Action|Crime|Mystery|Sci-Fi|Thriller
1911,Comedy
1912,Comedy|Crime|Drama|Romance|Thriller
1913,Drama|Mystery
1914,Comedy|Drama
1916,Drama|Romance
1917,Action|Romance|Sci-Fi|Thriller
1918,Action|Comedy|Crime|Thriller
1919,Children|Comedy
1920,Animation|Children|Fantasy|War
1921,Drama|Sci-Fi|Thriller
1923,Comedy|Romance
1924,Horror|Sci-Fi
1925,Action|Drama|Romance|War
1927,Action|Drama|War
1929,Drama|Romance
1931,Adventure|Drama
1934,Comedy|Romance
1935,Drama|Musical|Romance
1936,Drama|War
1937,Comedy|Drama|Musical
1938,Drama
1939,Drama|War
1940,Drama
1941,Drama
1942,Drama
1944,Drama|Romance|War
1945,Crime|Drama
1946,Drama|Romance
1947,Drama|Musical|Romance
1948,Adventure|Comedy|Romance
1949,Drama
1950,Drama|Mystery
1951,Drama|Musical
1952,Drama
1953,Action|Crime|Thriller
1954,Drama
1955,Drama
1956,Drama
1957,Drama
1958,Comedy|Drama
1959,Drama|Romance
1960,Drama
1961,Drama
1962,Drama
1963,Comedy|Crime
1964,Drama|Mystery
1965,Comedy|Sci-Fi
1966,Comedy
1967,Adventure|Fantasy|Musical
1968,Comedy|Drama
1969,Horror
1970,Horror|Thriller
1971,Horror|Thriller
1972,Horror
1973,Horror
1974,Horror|Mystery|Thriller
1975,Horror
1976,Horror
1977,Horror
1978,Horror
1979,Horror
1980,Horror
1981,Horror
1982,Horror
1983,Horror
1984,Horror
1985,Horror
1986,Horror
1991,Horror|Thriller
1992,Horror|Thriller
1994,Horror|Thriller
