director,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
nm0000142,9,3,0,0,2,9,0,18,1,0,0,1,5,1,2,12,4,4
nm0000149,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
nm0000154,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0
nm0000158,2,0,0,0,2,0,1,4,0,0,0,0,0,1,0,1,1,0
nm0000165,3,4,0,1,8,2,0,12,3,0,0,0,2,4,1,4,0,1
nm0000169,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
nm0000180,0,4,0,0,1,1,0,9,0,0,0,0,0,4,0,0,3,0
nm0000184,5,5,0,0,1,0,0,2,0,0,0,0,0,0,5,0,0,0
nm0000186,0,2,0,0,0,4,0,9,1,2,1,0,6,2,1,5,0,0
nm0000200,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
nm0000209,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
nm0000217,0,0,0,1,4,7,4,20,0,0,0,2,2,2,0,5,0,0
nm0000229,14,11,1,1,4,3,0,15,4,0,2,0,4,2,9,7,6,0
nm0000230,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0
nm0000231,2,1,0,0,0,3,0,15,0,0,0,0,2,0,0,4,4,0
nm0000233,7,1,0,0,2,7,0,5,0,1,2,0,2,0,1,8,1,1
nm0000243,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0000247,12,4,0,0,1,6,0,8,0,0,0,0,0,0,1,9,4,0
nm0000255,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,2,0,0
nm0000264,0,0,0,0,8,2,0,15,0,0,0,0,0,5,0,2,0,0
nm0000265,0,1,0,0,8,2,0,10,0,1,0,3,1,0,0,0,1,1
nm0000269,0,4,0,2,0,1,0,7,0,0,0,0,1,1,0,1,2,0
nm0000277,1,0,0,0,1,0,0,6,0,0,0,1,0,1,0,0,1,0
nm0000316,0,0,0,0,9,0,0,0,1,0,1,1,0,0,1,1,0,1
nm0000318,4,4,3,1,8,2,0,5,7,0,4,2,1,4,2,2,0,0
nm0000320,0,0,0,0,6,1,0,11,3,0,0,0,1,1,0,0,0,0
nm0000329,7,3,0,0,7,2,0,0,0,0,0,0,0,0,1,3,0,0
nm0000338,1,0,0,0,3,4,0,12,1,0,1,1,2,1,0,2,1,0
nm0000339,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
nm0000341,3,2,0,0,1,1,0,1,1,0,0,0,0,0,1,2,0,1
nm0000343,2,0,0,0,0,2,0,9,2,0,7,0,2,0,6,11,0,0
nm0000345,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0000361,4,1,0,0,2,7,0,7,2,0,3,1,6,0,1,10,1,0
nm0000362,0,0,0,1,5,4,0,3,1,0,0,0,0,0,0,0,0,0
nm0000382,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0
nm0000386,8,4,0,0,0,0,0,5,0,0,0,0,0,1,6,6,1,0
nm0000389,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0000399,2,0,0,0,0,2,0,7,1,0,1,0,3,1,1,8,0,0
nm0000406,2,2,0,0,2,1,0,10,0,0,0,1,0,5,0,0,3,9
nm0000408,3,2,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0
nm0000416,0,5,0,0,8,0,0,4,9,0,1,0,1,1,3,3,0,0
nm0000419,0,0,0,0,2,3,0,9,0,0,0,1,1,4,1,1,0,0
nm0000425,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0
nm0000428,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0
nm0000431,1,0,0,0,0,2,0,7,0,0,0,0,1,2,0,4,0,0
nm0000436,1,0,0,0,2,1,0,5,0,1,0,0,1,0,0,3,0,0
nm0000438,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
nm0000454,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
nm0000455,0,0,0,0,7,0,0,2,1,0,0,0,0,1,1,0,0,0
nm0000464,0,0,0,0,6,2,0,10,0,2,1,0,1,1,0,0,0,1
nm0000466,1,1,0,0,3,1,0,3,1,0,1,0,2,3,2,0,1,0
nm0000484,3,0,0,0,12,2,0,0,1,0,2,2,1,2,2,3,0,1
nm0000485,0,0,0,0,0,4,0,3,0,5,1,0,2,0,1,4,0,0
nm0000487,2,2,0,0,3,0,0,9,0,0,0,0,0,7,1,1,2,0
nm0000490,0,0,0,0,3,3,3,9,0,0,0,0,1,1,0,1,0,0
nm0000500,0,0,2,1,6,1,0,12,1,0,0,1,1,3,1,1,0,0
nm0000517,1,1,0,0,0,1,0,5,0,0,0,0,0,1,0,1,1,0
nm0000519,1,0,0,0,1,3,0,5,0,1,0,0,2,0,0,3,0,0
nm0000520,5,0,0,0,0,6,0,7,0,0,1,0,0,1,0,7,1,1
nm0000540,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
nm0000559,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
nm0000568,1,2,0,2,9,0,0,1,3,0,1,2,0,1,0,1,0,0
nm0000570,0,0,0,1,3,3,0,9,0,1,1,5,1,0,0,3,1,0
nm0000576,2,1,0,0,0,2,0,5,0,0,0,0,1,0,0,2,0,0
nm0000581,0,0,0,0,4,0,0,7,1,0,0,1,1,4,0,1,0,0
nm0000583,6,4,0,1,0,0,0,5,1,0,0,0,0,0,2,5,2,0
nm0000591,0,0,0,0,3,3,0,13,1,2,5,0,5,2,0,8,1,0
nm0000600,8,5,0,0,4,2,0,2,5,0,4,0,0,0,4,7,0,1
nm0000601,1,1,0,0,9,2,0,0,1,0,0,0,0,1,0,1,0,0
nm0000602,0,0,0,0,1,0,0,8,1,0,0,0,0,2,0,1,1,0
nm0000626,0,0,0,1,0,0,0,8,1,0,0,0,2,0,1,0,0,1
nm0000631,11,6,0,0,2,4,0,13,1,0,3,0,0,4,3,4,4,0
nm0000659,0,0,0,0,1,0,0,3,0,0,0,1,0,3,0,0,0,0
nm0000671,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1
nm0000682,4,2,0,0,0,2,0,5,0,0,1,0,1,0,4,6,3,0
nm0000691,0,0,0,0,10,3,0,2,0,0,1,1,0,1,0,0,0,0
nm0000694,0,1,0,0,0,1,2,7,2,0,0,2,3,4,1,1,0,1
nm0000697,0,0,0,0,13,2,0,10,0,2,0,0,2,7,0,1,1,0
nm0000709,2,7,4,3,8,1,0,6,5,0,1,0,2,2,4,0,1,1
nm0000720,2,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,2,0
nm0000736,2,1,0,0,2,0,0,3,0,1,2,0,0,0,0,2,1,1
nm0000750,1,0,0,0,1,3,0,4,0,0,1,0,2,1,1,4,0,0
nm0000755,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0
nm0000759,0,0,0,0,2,2,0,7,0,0,0,0,1,2,0,1,0,1
nm0000770,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0000774,0,0,0,0,0,0,0,7,0,0,0,0,2,2,0,0,0,0
nm0000776,1,2,0,1,0,2,7,6,1,0,0,0,1,2,0,5,0,0
nm0000777,0,0,0,0,3,1,0,3,0,0,0,0,1,0,0,0,0,0
nm0000778,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0
nm0000780,0,0,0,0,2,1,0,3,0,0,0,0,1,1,0,0,0,0
nm0000783,0,0,0,0,0,2,0,0,0,0,7,0,5,0,0,4,0,0
nm0000788,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0000791,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0
nm0000797,0,0,0,0,4,0,0,5,0,0,0,0,0,2,0,0,1,0
nm0000801,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
nm0000806,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,1,1,0
nm0000812,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,2,0,0
nm0000814,3,2,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0
nm0000816,0,0,0,0,1,3,0,3,0,0,0,0,2,1,0,2,0,0
nm0000824,5,0,0,0,4,2,0,3,0,0,0,0,0,3,2,5,0,0
nm0000829,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0
nm0000835,0,1,4,1,1,0,0,0,3,0,0,0,0,0,1,0,1,0
nm0000850,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
nm0000860,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0000876,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0
nm0000878,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
nm0000881,11,4,0,0,3,3,0,2,0,0,0,0,0,2,6,6,2,0
nm0000886,1,0,0,0,2,1,0,2,0,0,0,0,0,2,0,0,0,0
nm0000887,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,0,0
nm0000894,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0
nm0000905,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,2,0
nm0000907,0,0,0,0,7,0,0,1,0,0,0,0,0,4,1,0,0,0
nm0000914,0,0,0,0,1,1,0,6,0,0,0,0,0,3,0,2,0,0
nm0000915,1,1,0,0,0,1,0,6,0,0,0,0,0,1,0,1,1,1
nm0000916,6,2,0,0,3,2,0,3,1,0,0,0,0,0,1,3,1,0
nm0000921,0,0,0,0,4,2,0,1,0,0,0,0,0,2,0,0,0,0
nm0000934,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0
nm0000941,5,1,0,0,0,2,0,4,0,0,1,0,1,0,1,5,1,1
nm0000944,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
nm0000948,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0
nm0000953,0,0,0,0,3,2,0,3,0,0,0,0,0,0,0,1,0,0
nm0000957,4,2,0,0,1,0,0,0,0,0,1,0,0,4,0,5,0,0
nm0000958,2,3,0,0,0,2,0,5,2,0,0,0,0,0,1,3,0,0
nm0000965,1,3,0,1,3,4,0,7,1,0,1,0,0,2,2,5,0,0
nm0000975,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0
nm0000976,2,0,0,0,2,2,0,2,0,0,0,0,0,1,0,1,0,0
nm0000983,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0
nm0000985,0,0,0,0,5,0,0,5,0,0,0,0,0,4,0,0,0,0
nm0001005,0,0,0,0,1,1,0,6,0,0,0,0,1,3,0,1,0,0
nm0001008,0,0,0,0,5,0,0,4,1,0,0,0,1,4,0,1,0,0
nm0001023,0,0,0,0,1,1,0,4,0,1,0,1,0,0,0,0,0,0
nm0001024,0,0,0,0,1,2,0,4,0,0,0,0,0,2,0,1,0,0
nm0001045,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001047,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
nm0001053,0,1,0,0,9,8,0,8,0,2,0,0,0,2,0,3,0,1
nm0001054,0,1,0,0,9,9,0,9,0,2,0,0,0,2,0,3,0,1
nm0001060,0,4,0,3,5,0,0,4,3,0,0,1,0,3,1,0,0,0
nm0001068,0,0,0,0,1,1,0,5,0,0,0,0,0,3,0,0,0,0
nm0001081,0,0,0,0,4,0,0,6,0,0,0,0,1,5,1,1,0,0
nm0001093,1,1,0,0,1,2,0,3,0,0,0,0,0,0,0,4,1,0
nm0001102,2,2,2,3,6,0,0,0,3,0,5,1,1,0,5,1,1,0
nm0001104,0,0,0,0,1,2,0,3,0,0,1,0,0,1,1,0,0,0
nm0001112,5,3,0,1,1,1,0,3,0,0,0,0,1,0,0,5,0,0
nm0001120,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
nm0001129,0,0,0,0,2,2,2,5,0,0,1,2,0,1,0,2,0,0
nm0001130,0,0,0,0,3,2,1,3,0,0,0,0,0,1,0,0,0,0
nm0001139,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
nm0001149,9,5,0,1,8,6,0,5,3,0,1,0,2,3,3,5,0,1
nm0001162,0,0,0,0,2,0,0,1,1,0,0,0,1,3,0,0,0,0
nm0001175,1,0,0,0,11,5,0,2,0,0,0,2,1,5,0,0,1,0
nm0001178,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
nm0001188,0,0,0,0,5,0,0,3,2,0,0,0,0,5,0,0,0,0
nm0001202,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
nm0001206,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,2,0,0
nm0001214,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
nm0001219,2,0,0,0,0,2,1,6,0,0,0,0,1,1,1,5,0,0
nm0001226,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0,3,0,0
nm0001232,0,0,0,0,5,0,0,10,0,0,0,1,0,2,0,0,0,0
nm0001239,3,0,0,0,0,2,0,1,0,0,0,0,1,0,2,7,2,0
nm0001241,0,0,0,0,6,2,0,12,0,1,1,0,0,3,0,2,0,0
nm0001243,3,0,0,0,0,4,0,5,0,0,2,0,1,0,0,6,0,0
nm0001252,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0001270,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0
nm0001274,1,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0
nm0001281,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0001282,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0
nm0001302,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1
nm0001317,10,3,0,0,1,2,0,1,0,0,5,0,1,1,1,11,0,0
nm0001325,0,0,0,0,3,1,0,4,0,0,0,0,0,1,0,1,0,0
nm0001328,1,4,0,0,8,2,0,4,0,1,1,1,1,7,2,1,2,3
nm0001331,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0
nm0001338,2,0,0,0,1,0,0,1,0,0,1,0,1,1,0,2,0,0
nm0001345,0,2,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0
nm0001348,1,4,0,0,1,2,8,9,0,0,2,0,0,0,0,0,2,0
nm0001351,1,0,0,0,7,1,0,2,0,0,0,1,0,2,1,0,1,1
nm0001353,6,2,0,0,3,5,0,5,0,1,0,0,0,0,1,5,1,0
nm0001355,0,0,0,0,2,0,0,4,1,0,0,0,0,1,0,0,0,0
nm0001361,0,0,0,0,0,0,0,1,0,0,5,0,1,0,1,2,0,0
nm0001379,3,5,0,1,6,3,0,13,0,3,0,1,1,4,0,2,3,4
nm0001382,8,2,0,0,1,1,0,3,1,0,2,0,1,2,5,7,0,0
nm0001392,2,7,1,0,5,2,1,4,9,0,4,1,0,0,1,3,0,0
nm0001402,0,3,1,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0
nm0001403,0,0,0,0,3,2,0,10,3,0,2,0,0,2,0,4,0,0
nm0001408,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0
nm0001410,2,0,0,0,5,3,0,5,0,0,1,0,0,2,1,2,0,2
nm0001415,0,0,0,0,0,2,0,8,0,1,0,0,0,1,0,1,0,0
nm0001425,0,0,0,0,1,2,0,9,1,0,0,0,0,3,0,0,0,0
nm0001429,4,0,0,0,3,5,0,6,0,0,0,0,0,1,0,2,0,0
nm0001437,0,0,0,0,5,1,0,4,2,0,0,1,0,3,0,0,2,0
nm0001438,0,0,0,0,4,1,0,6,0,0,1,0,1,2,0,3,0,0
nm0001460,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,2,1,0
nm0001466,5,2,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,5
nm0001469,1,1,0,1,8,2,0,10,2,0,0,0,1,1,1,5,1,0
nm0001486,0,0,0,0,3,6,0,12,0,0,0,0,3,0,0,4,1,0
nm0001490,0,0,0,0,0,0,0,6,0,0,1,0,1,4,0,2,0,0
nm0001501,0,0,0,0,0,2,0,8,0,0,0,0,0,1,0,1,0,0
nm0001502,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,1,0
nm0001508,1,0,0,0,5,0,0,6,1,0,0,0,1,2,0,1,0,0
nm0001532,7,4,0,0,1,2,0,1,2,0,0,0,1,1,1,5,1,0
nm0001554,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,2,0
nm0001565,1,2,0,0,2,1,0,4,2,0,0,0,0,5,0,1,0,0
nm0001566,0,0,0,0,9,0,0,14,1,0,1,0,0,4,0,1,2,0
nm0001579,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
nm0001587,1,0,0,0,0,2,0,6,0,0,0,0,2,1,0,5,0,0
nm0001596,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
nm0001603,1,2,0,0,1,2,0,4,0,0,0,0,0,0,0,3,1,4
nm0001628,0,0,0,0,2,0,0,7,0,0,0,0,1,6,0,3,0,1
nm0001631,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0
nm0001639,3,2,0,0,0,1,0,1,1,1,0,0,1,0,3,4,0,0
nm0001661,1,2,0,0,10,1,0,10,1,0,1,0,0,7,0,2,0,0
nm0001674,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0001675,11,5,0,3,4,6,0,0,0,1,4,0,1,1,3,7,0,2
nm0001676,0,2,0,1,0,1,0,5,1,0,1,0,0,0,1,2,0,0
nm0001681,3,0,0,0,0,0,0,3,0,0,8,0,0,0,4,4,0,0
nm0001692,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0
nm0001707,0,0,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0
nm0001708,4,2,0,0,3,3,0,11,1,0,2,1,3,2,1,9,0,0
nm0001710,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
nm0001714,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0001716,9,0,0,0,2,7,0,9,0,0,1,0,1,2,1,12,1,0
nm0001723,0,0,0,0,6,0,0,3,4,0,0,0,1,3,1,1,0,0
nm0001741,4,5,0,0,0,1,0,2,1,0,0,0,1,0,4,4,1,0
nm0001747,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0001752,2,0,0,0,5,9,0,17,0,0,0,0,4,3,3,12,2,0
nm0001754,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
nm0001756,4,1,0,3,9,2,0,0,2,0,0,0,0,0,4,1,0,1
nm0001774,1,2,0,0,5,0,0,2,0,0,0,0,0,1,0,1,1,0
nm0001775,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0001789,0,0,0,0,0,0,0,7,0,0,0,0,2,0,2,0,2,0
nm0001801,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0
nm0001814,0,1,0,0,1,3,0,10,0,0,1,0,0,3,0,2,0,0
nm0001837,0,2,0,0,2,0,0,11,1,0,0,0,2,3,1,3,3,0
nm0001843,0,1,0,0,0,0,0,2,0,0,3,0,0,0,3,0,0,0
nm0001845,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0
nm0001873,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
nm0001874,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,1,0
nm0001878,1,0,0,0,9,1,0,0,0,0,2,0,0,2,0,0,0,0
nm0001880,4,2,0,0,2,2,0,8,0,0,0,0,0,3,0,3,6,1
nm0001885,0,0,0,0,2,0,1,13,1,0,1,1,4,0,1,3,0,0
nm0001915,0,0,0,0,2,1,0,1,0,0,0,1,0,2,0,0,0,0
nm0001928,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
nm0001945,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
nm0001988,0,1,0,0,1,0,0,2,1,0,0,0,1,1,1,0,0,0
nm0001994,3,0,0,0,1,2,1,6,0,0,0,0,1,2,0,2,3,0
nm0002020,0,0,0,0,1,1,0,4,0,0,0,0,2,0,0,2,0,0
nm0002030,0,1,0,1,8,0,0,10,1,0,0,3,0,9,0,1,1,0
nm0002031,3,3,0,0,3,2,0,5,0,1,0,2,0,5,0,0,0,0
nm0002044,3,1,0,0,0,1,0,5,0,0,1,0,1,1,1,5,1,0
nm0002045,0,0,0,0,9,1,0,1,1,0,0,5,1,6,0,1,0,1
nm0002080,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0
nm0002083,0,0,0,0,0,3,0,3,0,2,0,0,1,0,0,4,0,0
nm0002086,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
nm0002087,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0
nm0002089,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0
nm0002120,1,1,0,0,4,1,0,14,0,0,0,0,1,6,0,0,1,0
nm0002132,0,1,0,0,7,0,0,1,0,0,0,0,0,6,0,0,0,0
nm0002137,2,1,0,0,7,2,0,4,0,0,0,1,0,1,0,0,1,0
nm0002140,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
nm0002159,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
nm0002175,3,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0
nm0002190,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0002191,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,1,0,0
nm0002199,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
nm0002207,1,1,0,1,0,1,0,0,0,0,1,0,2,0,0,2,0,0
nm0002216,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0002337,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
nm0002338,0,0,0,1,0,0,0,3,1,0,1,0,1,0,0,2,0,0
nm0002339,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0
nm0002340,1,0,0,0,1,0,0,1,1,0,3,0,1,0,3,2,0,0
nm0002545,0,1,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0
nm0002653,4,7,1,3,1,0,0,2,3,0,1,0,0,0,4,3,1,0
nm0002657,1,1,0,0,1,0,0,3,1,0,0,0,0,0,1,1,0,0
nm0002718,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
nm0002728,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,1,0,0
nm0003080,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
nm0003088,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0003160,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
nm0003226,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
nm0003289,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
nm0003408,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
nm0003418,7,4,0,0,0,2,0,2,2,0,0,0,0,0,1,6,0,0
nm0003423,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
nm0003433,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0
nm0003474,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0003506,4,1,0,0,2,3,0,4,1,0,1,1,1,2,1,3,0,1
nm0003593,0,1,0,0,0,1,0,5,0,0,0,1,0,2,0,1,1,2
nm0003620,1,2,0,0,9,1,0,3,1,0,1,0,0,4,0,1,0,0
nm0003638,0,0,0,0,0,0,0,3,1,0,2,0,0,1,0,0,0,0
nm0003697,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0
nm0003836,0,1,0,0,0,0,0,7,3,0,1,1,1,4,0,1,3,0
nm0004056,1,4,3,3,2,0,0,0,0,0,0,0,0,1,2,0,0,0
nm0004121,2,0,0,0,0,1,0,2,0,0,1,0,1,0,0,2,1,0
nm0004244,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0004303,2,1,0,0,0,1,0,2,0,0,0,0,0,0,2,2,0,0
nm0004305,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
nm0004306,3,5,1,2,2,0,0,2,2,0,2,0,0,0,4,2,0,0
nm0004410,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0
nm0004675,2,0,0,1,1,1,0,4,1,0,0,0,0,0,1,1,1,0
nm0004716,0,1,0,0,0,0,0,6,1,0,0,0,0,1,1,2,0,0
nm0004838,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
nm0004886,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
nm0005008,1,2,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0
nm0005033,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0005062,0,1,3,2,4,0,0,0,2,0,1,1,0,0,0,0,0,0
nm0005069,0,1,0,1,2,0,0,4,2,0,0,0,0,2,1,0,0,0
nm0005101,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
