writer,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
nm0000127,2,0,0,0,0,1,0,4,2,0,16,0,3,1,1,12,0,0
nm0000131,0,0,0,0,3,2,0,1,0,0,0,0,0,2,0,1,0,0
nm0000154,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0
nm0000158,2,0,0,0,2,0,1,4,0,0,0,0,0,1,0,1,1,0
nm0000160,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
nm0000165,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0000175,2,1,0,0,0,2,0,15,3,0,23,0,6,0,5,18,0,0
nm0000180,0,2,0,0,1,1,0,6,0,0,0,0,0,3,0,0,0,0
nm0000184,14,14,1,0,2,0,0,2,2,0,0,0,0,0,9,1,0,0
nm0000186,0,1,0,0,0,4,0,8,1,2,1,0,6,2,1,5,0,0
nm0000188,0,2,0,0,10,3,0,2,0,0,0,0,1,3,0,2,0,1
nm0000196,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0000209,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
nm0000217,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0
nm0000229,1,3,0,1,1,0,0,3,1,0,1,0,0,0,2,1,0,0
nm0000230,15,7,0,0,0,1,0,8,0,0,0,0,0,0,0,7,2,0
nm0000231,4,2,0,0,0,3,0,15,1,0,0,1,1,0,0,4,4,0
nm0000233,8,1,0,0,3,8,0,5,0,0,3,0,1,0,1,10,1,1
nm0000235,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0
nm0000247,6,1,0,0,1,4,0,6,0,0,0,0,0,0,0,4,3,0
nm0000251,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
nm0000255,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0,1,0,0
nm0000264,0,0,0,0,8,2,0,15,0,0,0,0,0,5,0,2,0,0
nm0000265,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,1
nm0000269,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0
nm0000316,1,0,0,0,11,0,0,0,1,0,1,2,0,0,1,1,0,1
nm0000318,0,0,4,1,2,0,0,1,3,0,1,2,0,2,0,0,0,0
nm0000320,0,0,0,0,6,1,0,12,3,0,0,0,1,1,0,0,1,0
nm0000329,6,3,0,0,6,2,0,0,0,0,0,0,0,0,1,3,0,0
nm0000338,1,0,0,0,1,4,0,11,0,0,0,1,2,1,0,1,2,0
nm0000339,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1
nm0000341,10,8,0,0,1,1,0,3,1,0,0,0,3,1,8,8,0,1
nm0000343,1,0,0,0,0,0,0,5,2,0,7,0,1,0,6,7,0,0
nm0000345,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1
nm0000354,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0000361,1,0,0,0,1,2,0,0,1,0,2,1,4,0,0,7,0,0
nm0000365,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0
nm0000382,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0
nm0000386,5,4,0,0,0,0,0,2,0,0,0,0,0,1,5,5,0,0
nm0000389,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0000390,0,0,0,0,0,3,0,4,0,0,0,0,2,2,0,4,0,0
nm0000416,0,5,0,0,9,0,0,3,7,0,0,0,0,0,2,1,0,0
nm0000419,0,0,0,0,2,3,0,9,0,0,0,1,1,4,1,1,0,0
nm0000425,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0
nm0000428,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0
nm0000436,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
nm0000455,0,2,0,7,24,0,0,7,2,0,0,0,0,5,1,0,0,0
nm0000464,0,0,0,0,6,2,0,10,0,2,1,0,1,1,0,0,0,1
nm0000466,0,1,0,0,3,1,0,3,1,0,0,0,2,3,1,0,1,0
nm0000484,2,0,0,0,5,1,0,0,1,0,3,2,1,1,1,4,0,0
nm0000485,0,0,1,0,0,3,0,2,0,2,1,0,2,0,2,3,0,0
nm0000487,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0
nm0000490,0,0,0,0,2,1,0,7,0,0,0,0,1,1,0,0,0,0
nm0000492,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0000500,0,0,2,0,3,1,0,9,1,0,0,0,1,3,1,1,0,0
nm0000517,2,1,0,0,0,2,0,5,0,0,0,0,0,1,0,2,1,0
nm0000519,3,1,0,0,3,7,0,13,0,1,1,0,3,1,0,7,0,0
nm0000520,4,0,0,0,0,5,0,6,0,0,1,0,0,1,0,6,1,1
nm0000532,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0
nm0000540,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
nm0000552,2,0,0,0,7,2,2,1,0,0,0,0,0,3,0,2,0,0
nm0000559,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0
nm0000567,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
nm0000570,0,0,0,1,2,1,0,2,0,1,1,2,1,0,0,1,0,0
nm0000576,2,1,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0
nm0000581,0,1,0,1,3,0,0,5,1,0,0,1,0,3,0,0,0,0
nm0000583,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
nm0000590,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
nm0000591,0,0,0,0,3,3,0,10,1,2,5,0,5,2,0,7,0,0
nm0000600,4,2,0,0,4,1,0,0,4,0,5,0,0,0,2,3,0,0
nm0000601,1,1,0,0,12,1,0,0,2,0,0,0,0,1,2,0,1,0
nm0000626,0,1,0,2,0,0,0,9,2,0,2,0,3,0,2,0,0,1
nm0000632,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
nm0000634,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
nm0000636,2,1,1,1,11,3,1,27,2,0,1,2,1,13,1,3,7,0
nm0000668,0,0,0,1,1,0,0,3,1,0,0,0,0,2,0,0,0,0
nm0000671,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,3,0,0
nm0000681,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0
nm0000682,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0
nm0000683,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
nm0000691,0,0,0,0,11,3,0,3,0,0,1,2,0,1,0,0,0,0
nm0000694,0,1,0,0,0,1,2,6,3,0,0,2,2,3,1,1,0,1
nm0000697,1,2,0,0,20,3,0,12,0,2,0,0,2,13,0,1,1,0
nm0000698,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
nm0000709,0,4,2,2,6,0,0,1,2,0,1,0,0,0,3,0,1,1
nm0000720,4,0,0,0,10,2,0,0,0,0,1,0,0,2,0,0,2,0
nm0000759,0,0,0,0,2,2,0,7,0,0,0,0,1,2,0,1,0,1
nm0000774,0,0,0,0,0,0,0,7,0,0,0,0,2,2,0,0,0,0
nm0000777,0,0,0,0,2,1,0,3,0,0,0,0,1,0,0,0,0,0
nm0000780,0,0,0,0,2,1,0,3,0,0,0,0,1,1,0,0,0,0
nm0000783,1,0,0,0,0,2,0,1,0,0,7,0,5,0,0,4,0,1
nm0000801,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
nm0000806,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0000807,0,0,0,0,5,0,0,12,1,0,0,1,0,13,1,0,0,0
nm0000808,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0000812,1,1,1,0,2,4,0,3,2,0,1,0,1,1,0,6,0,0
nm0000835,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
nm0000850,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,2,0,0
nm0000875,1,4,0,2,0,0,0,0,4,0,0,1,0,0,1,0,0,0
nm0000876,0,3,2,2,7,1,0,5,1,0,0,0,0,0,0,0,0,0
nm0000878,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
nm0000886,0,0,0,0,4,0,0,3,1,0,0,0,0,4,0,0,0,0
nm0000894,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0
nm0000905,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,2,0
nm0000914,2,1,0,0,3,3,0,5,0,0,0,0,0,1,1,2,0,0
nm0000916,3,1,0,0,1,1,0,3,0,0,0,0,1,0,0,2,1,0
nm0000921,1,0,0,0,8,3,0,0,0,0,0,0,1,1,0,0,0,1
nm0000934,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,1
nm0000948,8,2,0,0,8,6,0,5,1,0,1,0,1,0,1,5,0,0
nm0000953,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
nm0000958,0,2,0,0,0,1,0,3,2,0,0,0,0,0,1,2,0,0
nm0000975,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0
nm0000983,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0
nm0000985,0,0,1,0,6,0,0,5,0,0,0,0,0,4,0,0,0,0
nm0001005,0,0,0,0,1,1,0,4,0,0,0,0,1,3,0,1,0,0
nm0001023,0,0,0,0,1,1,0,4,0,1,0,1,0,0,0,0,0,0
nm0001024,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
nm0001031,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0
nm0001037,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
nm0001045,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001047,2,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,1,0
nm0001053,0,1,0,0,9,9,0,9,0,2,0,0,0,2,0,3,0,1
nm0001054,0,1,0,0,9,9,0,9,0,2,0,0,0,2,0,3,0,1
nm0001060,2,3,1,4,5,0,0,1,3,0,2,0,1,1,0,1,0,0
nm0001068,0,0,0,0,2,1,0,6,0,0,0,0,0,3,0,0,0,0
nm0001081,0,0,0,0,5,0,0,7,0,0,0,0,1,6,1,1,0,0
nm0001084,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001094,1,5,2,7,5,1,0,0,6,0,0,3,0,0,1,1,0,0
nm0001104,1,1,0,0,0,2,0,3,0,0,5,0,0,0,5,1,0,0
nm0001120,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
nm0001139,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
nm0001140,7,1,1,0,0,1,0,2,0,0,0,0,2,1,9,9,0,0
nm0001175,0,2,0,0,12,6,0,0,0,0,0,2,2,3,0,0,0,0
nm0001178,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
nm0001188,0,0,0,0,7,0,0,4,2,0,0,0,0,6,0,0,0,0
nm0001191,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0
nm0001202,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
nm0001203,0,3,0,0,1,1,0,3,0,2,0,0,1,1,0,1,3,1
nm0001220,24,25,0,1,2,0,0,0,1,0,0,1,0,1,2,23,0,0
nm0001232,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0
nm0001239,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,2,1,0
nm0001246,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
nm0001252,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0001279,4,3,0,0,4,4,0,11,1,0,2,0,4,2,3,8,1,2
nm0001281,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0001294,0,0,0,0,1,1,0,4,0,2,0,0,2,0,0,5,1,0
nm0001300,0,0,0,1,1,1,0,7,0,0,0,0,2,1,0,5,0,0
nm0001302,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
nm0001325,0,0,0,0,3,1,0,4,0,0,0,0,0,1,0,1,0,0
nm0001328,1,1,0,0,1,2,0,3,0,0,1,0,0,1,2,0,0,0
nm0001331,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0
nm0001338,8,3,0,0,2,6,0,9,1,1,3,0,6,3,1,11,2,0
nm0001345,0,2,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0
nm0001348,1,4,0,0,1,1,7,8,0,0,2,0,0,0,0,0,2,0
nm0001353,9,2,0,0,2,6,0,5,0,1,2,0,0,0,2,6,1,0
nm0001355,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
nm0001357,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
nm0001361,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
nm0001379,1,4,0,0,2,5,0,13,0,6,0,0,1,3,0,4,3,1
nm0001382,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0
nm0001385,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0
nm0001392,2,7,1,0,5,2,1,4,9,0,4,1,0,0,1,3,0,0
nm0001402,0,4,1,0,8,0,0,0,3,0,0,1,0,0,0,0,0,0
nm0001403,0,0,0,0,3,1,0,7,2,0,1,0,0,2,0,2,0,0
nm0001410,5,4,0,0,3,2,0,6,0,0,1,0,0,2,3,4,0,2
nm0001425,0,0,0,0,1,2,0,10,1,0,0,0,0,3,0,0,0,0
nm0001429,4,0,0,0,3,5,0,6,0,0,0,0,0,1,0,2,0,0
nm0001437,0,0,0,0,4,1,0,4,2,0,0,1,0,2,0,0,2,0
nm0001438,0,0,0,0,2,0,0,4,0,0,1,0,1,1,0,1,0,0
nm0001465,2,1,0,0,3,5,0,4,0,0,0,1,0,1,0,4,0,3
nm0001466,5,2,0,0,1,1,0,3,0,0,0,0,0,0,0,1,1,6
nm0001469,0,0,0,0,7,0,0,5,1,0,0,0,0,1,0,4,0,0
nm0001471,0,0,0,0,3,0,0,0,1,0,0,0,0,1,2,0,0,0
nm0001486,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
nm0001501,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0
nm0001507,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001528,0,0,0,0,1,0,0,4,0,0,0,1,2,1,1,1,0,0
nm0001545,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
nm0001548,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
nm0001587,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0,2,0,0
nm0001589,0,2,0,0,7,0,0,0,2,0,0,0,0,0,1,0,0,0
nm0001596,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
nm0001603,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,2
nm0001631,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0
nm0001640,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1
nm0001661,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0001674,0,0,0,0,4,0,1,1,1,0,0,0,0,2,0,0,0,0
nm0001675,9,5,0,3,3,5,0,0,0,1,2,0,1,1,2,5,0,2
nm0001681,5,0,0,0,0,0,0,5,0,0,11,0,0,0,5,6,0,0
nm0001692,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0
nm0001705,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0001707,0,1,0,0,0,1,0,9,1,0,1,0,0,0,0,3,0,0
nm0001708,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0
nm0001709,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0
nm0001723,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0
nm0001731,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1
nm0001741,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0
nm0001747,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0001752,0,0,0,0,2,0,0,4,0,0,1,0,0,1,1,1,0,0
nm0001754,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
nm0001774,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
nm0001775,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0001778,1,1,3,0,5,0,0,0,1,0,1,2,0,0,0,0,0,1
nm0001779,1,1,0,0,2,0,0,4,1,0,0,0,0,2,1,1,1,0
nm0001789,0,0,0,0,0,0,0,7,0,0,0,0,2,0,2,0,2,0
nm0001801,4,3,0,0,3,3,0,9,0,1,0,0,3,4,0,7,0,1
nm0001811,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0
nm0001814,0,1,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0
nm0001825,0,0,0,0,0,0,0,1,1,0,2,0,3,1,0,3,0,0
nm0001837,0,1,0,0,1,0,0,5,1,0,0,0,1,2,0,1,3,0
nm0001873,2,1,0,0,0,3,0,12,0,0,1,0,2,0,0,7,1,0
nm0001874,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,1,0
nm0001878,2,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0
nm0001880,2,1,0,0,1,0,0,3,0,0,0,0,0,1,0,2,2,0
nm0001885,0,0,0,0,2,0,1,14,1,0,1,1,4,0,1,3,0,0
nm0001887,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
nm0001907,1,3,0,0,1,1,0,3,0,0,0,0,0,1,0,1,0,0
nm0001920,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0
nm0001921,0,0,0,0,0,1,0,5,0,0,0,0,1,0,1,4,0,0
nm0001930,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0001940,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0
nm0001945,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
nm0001949,0,0,0,0,0,2,0,3,0,0,1,0,1,0,0,3,1,0
nm0001969,1,1,0,1,0,0,0,4,1,0,0,0,1,0,2,2,0,0
nm0001977,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
nm0001986,0,1,0,0,1,2,0,4,0,0,1,0,0,2,0,1,0,0
nm0001988,0,1,0,0,1,0,0,2,1,0,0,0,1,1,1,0,0,0
nm0002005,0,0,0,0,0,4,0,2,0,0,0,0,6,0,0,2,0,0
nm0002007,4,1,0,0,0,1,0,3,0,0,0,0,0,0,0,5,0,0
nm0002009,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
nm0002010,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0
nm0002020,0,0,0,0,1,1,0,3,0,0,0,0,2,0,0,2,0,0
nm0002021,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
nm0002041,6,2,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,0
nm0002042,0,2,2,4,4,1,0,12,6,0,0,4,0,3,0,0,0,0
nm0002071,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0002080,0,0,0,0,1,1,0,2,1,0,0,2,0,0,0,0,0,0
nm0002087,1,1,0,0,0,1,0,3,0,1,0,0,0,0,0,1,1,0
nm0002106,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
nm0002132,0,0,0,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0
nm0002133,0,3,0,0,0,1,0,3,0,1,0,0,0,2,0,1,2,0
nm0002140,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0
nm0002144,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
nm0002191,1,0,0,0,0,2,0,6,0,0,1,0,0,1,0,2,0,0
nm0002192,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0
nm0002199,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
nm0002216,0,2,0,1,2,0,0,3,0,0,0,0,0,0,0,1,0,0
nm0002340,0,1,0,2,3,0,0,0,1,0,3,0,0,0,5,1,0,0
nm0002376,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0
nm0002417,0,0,0,0,1,1,0,3,0,0,0,0,2,1,0,4,0,0
nm0002545,0,1,0,0,8,0,0,0,0,0,1,0,0,4,1,0,0,0
nm0002616,0,0,0,0,3,1,0,3,0,0,0,1,1,2,0,0,0,0
nm0002657,1,2,1,1,4,0,0,4,3,0,0,0,0,2,1,1,0,0
nm0002717,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
nm0002718,2,0,0,0,2,2,0,4,0,0,0,0,0,0,0,2,0,0
nm0002728,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,1,0,0
nm0002759,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
nm0003031,0,3,2,6,2,0,0,4,4,0,0,2,0,2,1,0,0,0
nm0003117,2,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0
nm0003141,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
nm0003160,2,1,0,0,0,3,0,2,1,0,0,0,1,0,1,5,1,0
nm0003198,0,1,0,0,0,0,0,1,1,0,1,0,0,0,3,1,0,0
nm0003298,4,1,0,0,3,2,0,4,0,0,1,0,0,3,1,3,0,0
nm0003355,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
nm0003369,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
nm0003408,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0
nm0003433,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0
nm0003506,1,1,1,1,2,1,0,3,0,0,0,2,0,2,0,1,0,0
nm0003529,2,2,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0
nm0003620,0,2,0,0,8,0,0,3,1,0,1,0,0,4,0,1,0,0
nm0003662,7,1,0,0,0,1,1,2,0,0,0,0,0,2,1,5,1,0
nm0003697,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0
nm0003741,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0003836,0,0,0,0,0,0,0,7,2,0,0,1,1,4,0,1,3,0
nm0004056,1,9,8,8,6,0,0,0,4,0,0,0,0,1,3,0,0,0
nm0004111,2,2,0,0,0,1,0,2,0,0,0,0,1,0,2,1,0,0
nm0004122,0,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0
nm0004170,17,6,10,2,2,10,0,1,4,0,0,0,0,0,4,3,0,0
nm0004244,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
nm0004303,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
nm0004306,3,5,1,3,1,0,0,3,0,0,0,0,0,0,3,0,0,0
nm0004307,3,0,0,0,0,2,0,1,0,0,1,0,0,1,2,3,0,0
nm0004332,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
nm0004366,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
nm0004410,3,0,0,0,1,2,0,0,0,0,1,0,0,0,1,3,0,0
nm0004412,3,3,0,1,6,1,0,0,2,0,0,0,1,0,4,1,0,0
nm0004555,1,3,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0
nm0004591,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,2,0,0
nm0004675,1,0,0,1,3,2,0,3,2,0,0,0,1,0,1,0,0,0
nm0004716,0,1,0,0,0,0,0,4,1,0,1,0,0,1,1,1,0,0
nm0004798,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0
nm0004810,1,0,0,0,0,1,0,1,0,0,0,0,2,0,2,2,0,0
nm0004976,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0
nm0004981,3,1,5,0,5,0,0,0,1,0,0,0,0,1,4,0,0,0
nm0005062,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
nm0005069,2,1,0,1,4,0,3,2,1,0,0,0,0,1,1,0,0,0
nm0005082,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
nm0005101,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0
nm0005124,0,5,6,6,6,0,0,0,3,0,0,0,0,0,0,0,0,0
nm0005139,0,0,0,0,3,0,0,8,0,0,0,1,0,0,0,0,0,0
nm0005196,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
nm0005237,0,0,0,0,0,0,0,7,0,0,0,1,1,5,0,1,2,0
nm0005295,1,1,3,0,5,0,0,0,1,0,1,2,0,0,0,0,0,1
nm0005303,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
nm0005348,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
nm0005358,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
nm0005363,1,0,0,0,2,4,0,1,0,0,0,0,0,0,0,3,0,0
